team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,targets,rec,rec_yd,rec_td,off_fum,def_pass_cmp,def_pass_att,def_pass_yd,def_pass_td,def_int,def_sacks,def_rush_att,def_rush_yd,def_rush_td,def_targets,def_rec,def_rec_yd,def_rec_td,def_fum,opps,games,next_op,next_game_location,next_game_week,ratio_pass_cmp,ratio_pass_att,ratio_pass_yd,ratio_pass_td,ratio_pass_int,ratio_sacks,ratio_rush_att,ratio_rush_yd,ratio_rush_td,ratio_targets,ratio_rec,ratio_rec_yd,ratio_rec_td,ratio_off_fum,ratio_def_pass_cmp,ratio_def_pass_att,ratio_def_pass_yd,ratio_def_pass_td,ratio_def_int,ratio_def_sacks,ratio_def_rush_att,ratio_def_rush_yd,ratio_def_rush_td,ratio_def_targets,ratio_def_rec,ratio_def_rec_yd,ratio_def_rec_td,ratio_def_fum,schedstr_ratio_pass_cmp,schedstr_ratio_pass_att,schedstr_ratio_pass_yd,schedstr_ratio_pass_td,schedstr_ratio_pass_int,schedstr_ratio_sacks,schedstr_ratio_rush_att,schedstr_ratio_rush_yd,schedstr_ratio_rush_td,schedstr_ratio_targets,schedstr_ratio_rec,schedstr_ratio_rec_yd,schedstr_ratio_rec_td,schedstr_ratio_off_fum,schedstr_ratio_def_pass_cmp,schedstr_ratio_def_pass_att,schedstr_ratio_def_pass_yd,schedstr_ratio_def_pass_td,schedstr_ratio_def_int,schedstr_ratio_def_sacks,schedstr_ratio_def_rush_att,schedstr_ratio_def_rush_yd,schedstr_ratio_def_rush_td,schedstr_ratio_def_targets,schedstr_ratio_def_rec,schedstr_ratio_def_rec_yd,schedstr_ratio_def_rec_td,schedstr_ratio_def_fum
ATL,0.63,5.555555555555555,7.3,0.01,0.07,0.2777777777777778,1.6481481481481481,42.0,0.4044943820224719,0.64,39.0625,5.87,0.02,0.04627249357326479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Atlanta Falcons', 'Minnesota Vikings', 'Atlanta Falcons', 'Washington Commanders', 'Atlanta Falcons', 'Atlanta Falcons', 'Las Vegas Raiders', 'New York Giants', 'Atlanta Falcons']",9,BUF,HOME,6.0,0.05258656224237428,0.30169957426837846,1.04159017749951,0.2048832417582418,3.3544899598393583,0.22255192878338279,0.19113751879160995,9.277471180758711,11.144737716907123,8.921420560747665,679.0637747668999,12.460983454901264,8.646666666666668,3.5808042729840954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05514180261493201,0.0,1.0523501063032221,1.0988969141884617,0.9272129390812113,0.0,0.0,1.005685619508749,0.9518348273100423,1.644597887980329,1.5892745426943948,1.8609677441661252,1.801573722040274,0.8844604754236268
Arizona Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722151088348272,0.0,7.272727272727274,0.04481434058898848,0.006402048655569783,0.0,0.0,5.472027972027972,0.06293706293706294,0.08450704225352114,0.07170294494238157,0.532650448143406,0.0,0.008434864104967198,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056110288350804824,0.0,1.0376988069733597,0.9181707377129912,0.3067943991073127,0.0,0.0,1.2087281383522628,1.7340588405677169,1.178004475450836,1.2464863348346062,1.1307237515435646,0.0,0.6527332999956948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta Falcons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6537216828478964,0.0,7.4045307443365695,0.061488673139158574,0.022653721682847898,0.0,0.0,4.317460317460317,0.042328042328042326,0.13268608414239483,0.11003236245954692,1.0161812297734627,0.006472491909385114,0.006024096385542169,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05456662851471518,0.0,1.0565049989443978,1.2597998684163731,1.0855954562586916,0.0,0.0,0.9536931826025583,1.166233576489987,1.8496068112391495,1.9128061797964708,2.157175041122374,2.7982740021574974,0.46617565669036576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,0.6,0.8333333333333334,3.466666666666667,0.0,0.0,0.0,1.8395061728395063,51.19127516778523,0.24161073825503354,1.4,7.142857142857143,13.6,0.0,0.10392609699769052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Baltimore Ravens', 'Cleveland Browns', 'Baltimore Ravens', 'Baltimore Ravens', 'Los Angeles Chargers', 'Baltimore Ravens', 'New York Giants', 'Pittsburgh Steelers', 'Houston Texans']",9,LAR,HOME,6.0,0.050082440230832644,0.045254936140256774,0.49463643132396823,0.0,0.0,0.0,0.21332951535542985,11.307751906557534,6.656923871172711,19.515607476635516,124.1716616716617,28.87042163316136,0.0,8.042337541517396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05421985786388172,0.0,0.9738543432449208,0.9060928743003657,0.6070746349186578,0.0,0.0,1.0675828251409574,1.356862666421202,1.5760506576739808,1.6568838015162966,1.8052095787653526,0.0,1.2026393281666612
BUF,0.660377358490566,14.722222222222221,8.120754716981132,0.06415094339622641,0.007547169811320755,0.4444444444444444,1.2407407407407407,51.94029850746269,0.8955223880597015,0.07547169811320754,125.875,0.6490566037735849,0.007547169811320755,0.010440835266821347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Baltimore Ravens', 'New York Jets', 'Miami Dolphins', 'New Orleans Saints', 'San Francisco 49ers', 'Buffalo Bills', 'Detroit Lions', 'New England Patriots', 'New York Jets']",9,ATL,AWAY,6.0,0.055122182643998194,0.799503871811203,1.1586984037110082,1.3143453244868342,0.36167007653254535,0.35608308605341243,0.14389004223638052,11.473205298166423,24.67367305484413,1.0520543114089227,2188.215107808858,1.3778336628478784,3.262893081761007,0.8079656973264577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056552935125026495,0.0,1.0669649797804588,1.1643462703946708,0.4773807069728936,0.0,0.0,1.0144519598746866,1.3397930144911618,1.8897810676170843,1.937045477540399,2.0352446591287867,1.9297548913909819,0.8824042412663324
Baltimore Ravens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6732186732186732,0.0,7.140049140049139,0.05651105651105651,0.0,0.0,0.0,5.02733118971061,0.06591639871382637,0.20393120393120392,0.17690417690417687,1.6584766584766581,0.0,0.019436345966958212,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05619405660625776,0.0,1.018767815224521,1.1578168453168451,0.0,0.0,0.0,1.1104981006826091,1.816146299079765,2.8427438058279177,3.0753079843988926,3.5206559116895346,0.0,1.5040847232381092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716417910447762,0.0,9.880597014925373,0.07462686567164178,0.0,0.0,0.0,4.2,0.1111111111111111,0.05970149253731343,0.05970149253731343,0.2835820895522388,0.0,0.0,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05606243309421565,0.0,1.409799013503732,1.5289794161062815,0.0,0.0,0.0,0.9277471180758711,3.061363138286216,0.8322220672339238,1.0378526945691124,0.6019951833077982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAR,0.5966542750929368,26.9,6.351301115241636,0.03903345724907063,0.016728624535315983,2.1,0.42000000000000004,52.857142857142854,0.9523809523809523,0.011152416356877323,224.16666666666669,0.03717472118959108,0.0,0.021961932650073207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Carolina Panthers', 'Carolina Panthers', 'Atlanta Falcons', 'Carolina Panthers', 'Carolina Panthers', 'Carolina Panthers', 'Carolina Panthers', 'Carolina Panthers', 'Arizona Cardinals', 'Carolina Panthers']",10,DAL,HOME,6.0,0.04980317011802131,1.4608293386074886,0.9062264186270371,0.7997301258221334,0.801657186366283,1.682492581602374,0.048707853103300155,11.67572903700926,26.240255471024707,0.15546155716916238,3896.92064879565,0.07891543197343473,0.0,1.6995276503060188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05324564755227028,0.0,1.0186420427999963,1.1250009962122207,0.8703171960530849,0.0,0.0,1.1318193418839249,1.0386191713697204,0.5050491530115326,0.5099835692383559,0.4298955966139168,0.27982740021574976,1.4978937436196638
CHI,0.621301775147929,16.9,6.816568047337278,0.05325443786982249,0.008875739644970414,1.65,0.9349999999999999,38.98395721925134,0.16042780748663102,0.10650887573964497,126.75,0.6745562130177515,0.0,0.022427810485001403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Chicago Bears', 'Chicago Bears', 'Dallas Cowboys', 'Las Vegas Raiders', 'Chicago Bears', 'Chicago Bears', 'Chicago Bears', 'Chicago Bears', 'Chicago Bears', 'Chicago Bears']",10,WAS,AWAY,6.0,0.05186051503192729,0.9177701049244072,0.97261237292651,1.0910941868782107,0.42533685036002006,1.3219584569732936,0.10843295869425153,8.6112509431794,4.420149985760847,1.4847038655090419,2203.4261363636365,1.4319648739037572,0.0,1.7355796806414516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053606438556346336,0.0,1.0385242714292857,1.059054183349851,0.528958820123222,0.0,0.0,0.9889424537782251,0.5743886212246158,1.075179408595028,1.0592776459505877,1.0658407773563614,0.44062951710766624,0.9058087548618572
CIN,0.6428571428571429,4.666666666666667,6.023809523809524,0.03571428571428571,0.05952380952380952,0.3888888888888889,1.5061728395061729,31.647540983606557,0.2581967213114754,0.6666666666666666,36.0,4.404761904761905,0.047619047619047616,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Cleveland Browns', 'Jacksonville Jaguars', 'Cincinnati Bengals', 'Cincinnati Bengals', 'Cincinnati Bengals', 'Dallas Cowboys', 'Tennessee Titans', 'Cleveland Browns', 'Denver Broncos']",9,GNB,AWAY,6.0,0.05365975739017784,0.25342764238543797,0.859498743990137,0.7317258634222921,2.8524574488429915,0.3115727002967359,0.1746724890829694,6.990694033745,7.113905325443788,9.293146417445485,625.8251748251749,9.35053921942376,20.58730158730159,0.6964664310954064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05458210348212286,0.0,1.0288242804242238,0.9917712861405339,1.5193794281176518,0.0,0.0,0.8026968371777284,0.9957196750569199,0.8546618287345951,0.8910683648041169,0.8981792688891453,0.8278004832494162,0.5617332866234711
