name,Unnamed: 0,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,pass_yd_p25,pass_yd_p75,rush_yd_p25,rush_yd_p75,rec_yd_p25,rec_yd_p75,pass_td_p25,pass_td_p75,rush_td_p25,rush_td_p75,rec_td_p25,rec_td_p75
Aaron Rodgers,0,19.602871612715724,30.678814692981188,211.08698140264104,1.122309844023461,0.7391236597370308,2.4464250483158247,1.4173043482079697,9.38925437270536,0.0,0.0,0.0,0.0,0.0,0.2969571594444019,8,PIT,105.16835557208822,190.2578186507557,4.615909032983043,8.485154955041168,0.0,0.0,0.5627224842898785,1.0192363029303366,0.0,0.0,0.0,0.0
Alvin Kamara,1,0.0,0.0,0.0,0.0,0.0,0.0,14.095420571105809,52.00867399484281,0.0,5.327181597889992,4.40627449767455,39.52653693048027,0.3682130510170229,0.0,6,NO,0.0,0.0,41.64748907807254,62.6782788585238,31.4995991080717,47.71839731421055,0.0,0.0,0.0,0.0,0.29415152408171563,0.4433454286360659
Anthony Richardson,2,11.838632163415838,23.497717416580656,153.31422953120344,0.756402044737819,1.2589906044868369,1.116258766221845,8.595364662589702,56.58046565517692,0.970614033298384,0.2855779076930608,0.2855779076930608,-0.2855779076930608,0.0,0.2350877336129276,5,IND,77.16165703123016,137.91861177368995,28.180705061521657,50.91576554909743,-0.2855779076930608,-0.2855779076930608,0.37582886931738957,0.6814069220636056,0.4823640377515201,0.8734677683700972,0.0,0.0
Baker Mayfield,3,25.16511698432081,33.23986869465278,305.1837697450942,3.189289442887405,0.76470893638532,2.564739594196859,2.1538019533870205,18.16219525223501,0.0545474199721079,0.0,0.0,0.0,0.0,0.6836368395119065,8,TB,242.80317152481683,367.69091464338265,14.573827249467582,21.90322535445533,0.0,0.0,2.543539144298304,3.8204582026440486,0.043253712517496,0.06523443373600091,0.0,0.0
Bijan Robinson,4,0.0,0.0,0.0,0.0,0.0,0.0,20.167536012712308,96.25492586523042,1.368574381644002,3.5338264920192346,2.685075130760234,12.937922310095445,0.0,0.3299511895616404,8,ATL,0.0,0.0,47.81935530849039,87.3329301956849,6.4820638354470965,11.656310476654546,0.0,0.0,0.6792657219411278,1.2293946634055501,0.0,0.0
Bo Nix,5,24.099837251372,34.626770934068,227.58862098763456,2.4796875684074227,1.0532339679193723,1.6005972166374791,5.160203444241405,22.34823013488894,0.0,0.0201861404276726,0.0201861404276726,0.0403722808553452,0.0201861404276726,0.6241126830165715,8,DEN,113.2911461749148,206.28608091211777,11.173810772336125,20.031808231013933,0.020070215173199818,0.03674376100503861,1.223202834830296,2.2252512323904456,0.0,0.0,0.010033784597966375,0.01815079641585409
Breece Hall,6,0.0,0.0,0.0,0.0,0.0,0.0,11.40799263530077,47.709398508301724,0.2260808125138631,2.903413054238266,2.510744277155613,19.769693056163,0.0437722789166829,0.2001107795944111,7,NYJ,0.0,0.0,23.659495373808518,42.69706023223193,9.829518732127166,18.060760200951464,0.0,0.0,0.11145845877393046,0.20226968789111863,0.02166093347382775,0.039288760080768106
Brian Robinson Jr.,7,0.0,0.0,0.0,0.0,0.0,0.0,13.5702467653404,52.646033111926826,0.1317278507882888,2.306445679921968,1.9868109767256208,13.266057494995064,0.0,0.515498271423832,6,SF,0.0,0.0,41.982824185139094,63.49578286874489,10.562614995266824,16.01740349356373,0.0,0.0,0.10611707244467514,0.15862000237034116,0.0,0.0
Bryce Young,8,17.738947115229657,29.880430724758774,202.0041720776077,1.551738049340058,0.4480917881544897,3.602279000748257,3.567087307752677,26.56766738566464,0.4641415202124804,0.0,0.0,0.0,0.0,1.0217117652858565,8,CAR,99.80878875912622,181.60413295305966,13.178928603858672,24.11860753141856,0.0,0.0,0.7660128375363107,1.3981591560726496,0.23079117832546495,0.4186037654958837,0.0,0.0
Caleb Williams,9,20.108372986923737,32.769416060317546,207.4296713904285,1.1355557713225313,0.3126151488593153,4.666010481216908,4.987762708133265,30.073638139543345,0.0,0.0,0.0,0.0,0.0,1.0106847762621665,9,CHI,101.11365974046763,186.6937302491435,14.710897271940153,27.113743430349146,0.0,0.0,0.5657042119300143,1.0147470306069142,0.0,0.0,0.0,0.0
Chase Brown,10,0.0,0.0,0.0,0.0,0.0,0.0,19.05421272258726,77.67890919430138,0.2680702627494698,4.306516442617655,3.948187273075863,28.72535027296581,0.2938703703802077,0.0271728992505161,8,CIN,0.0,0.0,38.670815650787475,70.23430511204364,14.173760469269155,25.835199385462218,0.0,0.0,0.13302348271385714,0.24162210127444952,0.14636949236562088,0.26622455893207086
Christian McCaffrey,11,0.0,0.0,0.0,0.0,0.0,0.0,11.239242005527045,50.054086063955786,0.0,4.20489538097118,3.204895380971181,30.18318199763127,0.0,0.2763521515988946,4,SF,0.0,0.0,40.013571641753174,60.0030061789861,24.07710845930979,36.41427716942471,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Rush,12,19.43483927522041,31.62755100878079,206.12123552784507,1.4403858682559547,0.7692361534255254,1.2684888922413735,2.524815807857676,1.3016258916944627,0.0,0.0,0.0,0.0,0.0,0.5770327352233375,9,BAL,102.7876888026947,186.92376581979454,0.6449198719454634,1.1767681956430092,0.0,0.0,0.7111849882321858,1.2979301787101516,0.0,0.0,0.0,0.0
D'Andre Swift,13,0.0,0.0,0.0,0.0,0.0,0.0,12.856339562149534,46.674076711712296,0.0367788596481495,3.2299773443737623,2.6825350741457954,23.37817397808945,0.0,0.0180216412275932,9,CHI,0.0,0.0,22.878122888583377,41.91572151814254,11.609096718031726,21.112722167973843,0.0,0.0,0.018608774088657187,0.03345745282523088,0.0,0.0
Dak Prescott,14,18.0,24.0,133.0,1.0,0.0,3.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DAL,65.76992870474744,119.41048100190399,14.932391541213029,27.124973710455176,0.0,0.0,0.5023750430810469,0.9090150826080377,0.0,0.0,0.0,0.0
