,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team
0,Aaron Rodgers,18.27851969324288,26.550498405301667,194.74756798778486,1.557032055660527,0.6933328857934861,2.0165171151745263,2.3828339507967073,5.150494967785493,0.0,0.0,0.0,0.0,0.0,0.36515637692810043,9,PIT
1,Alvin Kamara,0.0,0.0,0.0,0.0,0.0,0.0,13.368752316136229,50.58002293656717,0.08129459411193236,4.726778927575915,3.5914779079467127,18.087591790861328,0.027884045780392795,0.11613513444561765,8,NO
2,Anthony Richardson,2.142800348876233,4.272002462668818,24.836206674557452,0.11463312175515242,0.20982076734068822,0.16317882100377568,2.2876803895116873,7.784926266659503,0.13890597137946403,0.6255092782427921,0.6255092782427921,5.15364527625745,0.0,0.0,5,IND
3,Ashton Jeanty,0.0,0.0,0.0,0.0,0.0,0.0,16.358912408495907,78.73599942302839,0.3390068875987163,3.697017777938048,2.8521149615953267,19.73358335436876,0.5048501676823772,0.2524250838411886,5,LV
4,Baker Mayfield,24.156952165914788,34.45055524335551,294.9836919828804,2.134698808857194,0.33835978669996597,1.785391933497736,3.5538625532645174,23.059501999718652,0.0,0.0,0.0,0.0,0.0,0.5523024442461746,10,TB
5,Bijan Robinson,0.0,0.0,0.0,0.0,0.0,0.0,17.091970936007048,84.17863066568104,0.6115822424604267,5.106110369134686,3.9741781200025836,58.49138632567132,0.10722699605874514,0.38767404610043693,9,ATL
6,Bo Nix,23.42505787457733,36.01735942980036,235.23441992942418,1.6300426363170784,0.6346135591554183,1.2176204738286691,5.148198553644985,20.260321604125913,0.22002014141695897,0.0,0.0,0.0,0.0,0.16527252962817704,9,DEN
7,Breece Hall,0.0,0.0,0.0,0.0,0.0,0.0,12.809924031863611,73.61259240168987,0.0258851496175638,4.780228692562178,3.6294596706360656,30.785677809136324,0.0,0.3396819343637254,9,NYJ
8,Brian Robinson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,6.10882717013589,23.473171594647773,0.01268372331260626,0.5656728858839098,0.4532271922099447,1.9437142676348262,0.0,0.07395757033589656,9,SF
9,Bryce Young,19.7572290203061,32.080871001014856,186.94510300074666,1.457437167787256,0.6315054488920643,2.2365338713197995,2.550817724487831,9.261848457626838,0.2254762171585437,0.0,0.0,0.0,0.0,0.6433578467970089,10,CAR
