team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,targets,rec,rec_yd,rec_td,off_fum,def_pass_cmp,def_pass_att,def_pass_yd,def_pass_td,def_int,def_sacks,def_rush_att,def_rush_yd,def_rush_td,def_targets,def_rec,def_rec_yd,def_rec_td,def_fum,opps,games,next_op,next_game_location,next_game_week,ratio_pass_cmp,ratio_pass_att,ratio_pass_yd,ratio_pass_td,ratio_pass_int,ratio_sacks,ratio_rush_att,ratio_rush_yd,ratio_rush_td,ratio_targets,ratio_rec,ratio_rec_yd,ratio_rec_td,ratio_off_fum,ratio_def_pass_cmp,ratio_def_pass_att,ratio_def_pass_yd,ratio_def_pass_td,ratio_def_int,ratio_def_sacks,ratio_def_rush_att,ratio_def_rush_yd,ratio_def_rush_td,ratio_def_targets,ratio_def_rec,ratio_def_rec_yd,ratio_def_rec_td,ratio_def_fum,schedstr_ratio_pass_cmp,schedstr_ratio_pass_att,schedstr_ratio_pass_yd,schedstr_ratio_pass_td,schedstr_ratio_pass_int,schedstr_ratio_sacks,schedstr_ratio_rush_att,schedstr_ratio_rush_yd,schedstr_ratio_rush_td,schedstr_ratio_targets,schedstr_ratio_rec,schedstr_ratio_rec_yd,schedstr_ratio_rec_td,schedstr_ratio_off_fum,schedstr_ratio_def_pass_cmp,schedstr_ratio_def_pass_att,schedstr_ratio_def_pass_yd,schedstr_ratio_def_pass_td,schedstr_ratio_def_int,schedstr_ratio_def_sacks,schedstr_ratio_def_rush_att,schedstr_ratio_def_rush_yd,schedstr_ratio_def_rush_td,schedstr_ratio_def_targets,schedstr_ratio_def_rec,schedstr_ratio_def_rec_yd,schedstr_ratio_def_rec_td,schedstr_ratio_def_fum
ATL,0.639344262295082,3.388888888888889,7.950819672131147,0.01639344262295082,0.04918032786885246,0.2222222222222222,1.7160493827160495,47.94604316546763,0.420863309352518,1.2131147540983607,23.08108108108108,11.311475409836065,0.03278688524590164,0.05441354292623942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Tampa Bay Buccaneers', 'Minnesota Vikings', 'Carolina Panthers', 'Washington Commanders', 'Buffalo Bills', 'Minnesota Vikings', 'Las Vegas Raiders', 'New York Giants', 'Washington Commanders']",9,MIA,HOME,8.0,0.05346018916682321,0.1866712002720163,1.1297564780501075,0.31908083887556826,2.3253913868536187,0.18838304552590265,0.19898360890415864,10.630918410803812,11.902593714502084,16.013332548488684,376.4917329975566,22.05891464778719,12.687661777394306,4.412175524641481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05563749076519295,0.0,1.0254730921868782,0.962947369049383,0.9703613906940808,0.0,0.0,1.0694776994671624,0.999592683510614,1.56274568515249,1.4620184839602186,1.7704876558498814,1.2646088484616098,1.247218378549648
Arizona Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6487414187643021,0.0,6.776887871853548,0.04004576659038902,0.012585812356979406,0.0,0.0,5.091370558375634,0.06852791878172589,0.10297482837528604,0.09153318077803205,0.5961098398169338,0.0,0.00946372239747634,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05424595325684781,0.0,0.9629488895443107,0.7794480446216683,0.5950944395800069,0.0,0.0,1.1288928435338197,1.9380638730758952,1.3592862219556383,1.4930620336560856,1.1624952184215913,0.0,0.767375217429759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta Falcons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6232394366197183,0.0,6.957746478873239,0.08098591549295775,0.02464788732394366,0.0,0.0,5.333333333333333,0.023809523809523808,0.01056338028169014,0.01056338028169014,0.05985915492957746,0.0,0.010869565217391304,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05211354843212262,0.0,0.9886476465677921,1.5763042850085287,1.165425026040487,0.0,0.0,1.1825424535787967,0.6733661075766337,0.13943851619591877,0.1723067188488669,0.11673348892506284,0.0,0.8813693620479478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,0.6296296296296297,3.0,5.611111111111111,0.0,0.07407407407407407,0.05555555555555555,1.5555555555555556,50.214285714285715,0.32142857142857145,0.3333333333333333,22.5,2.8518518518518516,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Buffalo Bills', 'Cleveland Browns', 'Detroit Lions', 'Kansas City Chiefs', 'Houston Texans', 'Los Angeles Rams', 'New York Giants', 'Pittsburgh Steelers', 'Houston Texans']",9,CHI,HOME,8.0,0.05264787860018582,0.1652499149948997,0.7973000757464732,0.0,3.502441348100512,0.04709576138147566,0.18037363109297833,11.133848368739654,9.09044245228456,4.400059844404549,367.0133111480865,5.56149877083502,0.0,5.9331205835422836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05385024641450649,0.0,0.9583147252374802,0.8593999973652274,1.0688971146583353,0.0,0.0,1.010262926850458,1.2219453181608426,1.3590793265121945,1.3473272623443402,1.2068278970135426,0.29838236964452897,0.989280551506538
BUF,0.6524590163934426,15.25,7.99016393442623,0.06229508196721312,0.01639344262295082,0.65,1.155,54.8051948051948,0.7792207792207791,0.06557377049180328,137.25,0.49836065573770494,0.003278688524590164,0.01828710758914965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Baltimore Ravens', 'New York Jets', 'Miami Dolphins', 'New Orleans Saints', 'New England Patriots', 'Atlanta Falcons', 'Los Angeles Rams', 'Detroit Lions', 'New England Patriots', 'New York Jets']",10,CAR,AWAY,8.0,0.054556808431783683,0.8400204012240734,1.1353470255703555,1.2125071877271594,0.7751304622845396,0.5510204081632654,0.1339274210865364,12.151775537587312,22.037436247962564,0.8655855431615506,2238.7811980033275,0.9718710221633777,1.2687661777394306,1.4828280641586933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05477219807096234,0.0,1.0026439859852618,1.095028004762646,0.7651363076414495,0.0,0.0,1.0199773676594615,1.0674469782182956,0.8236563142800257,0.8722987274137808,0.808147815861122,0.567553724233337,1.1514809320774133
Baltimore Ravens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6427732079905993,0.0,6.386603995299647,0.0481786133960047,0.014101057579318448,0.0,0.0,4.063604240282685,0.0706713780918728,0.04465334900117509,0.04230317273795534,0.48648648648648646,0.0,0.017636684303350973,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05374690806982404,0.0,0.9074922503551727,0.9377452150737909,0.666739716089639,0.0,0.0,0.9010095991269542,1.998683852877641,0.5894322235747573,0.6900367777167312,0.9487147780364408,0.0,1.4300878537638662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6921529175050302,0.0,7.57142857142857,0.05835010060362172,0.014084507042253518,0.0,0.0,6.19620253164557,0.06751054852320675,0.2535211267605634,0.2032193158953722,1.8370221327967806,0.004024144869215291,0.016477857878475798,[],0,0.0,BYE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05787590205213941,0.0,1.0758476269620016,1.1357223419937224,0.665957157737421,0.0,0.0,1.3738636021206196,1.909291241736278,3.34652438870205,3.3148530673782006,3.5824428702044497,1.5572381658371275,1.3361232759367447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAR,0.6102088167053364,21.55,6.2459396751740135,0.05104408352668213,0.025522041763341066,2.0,0.655,58.396946564885496,0.5343511450381679,0.03480278422273782,172.4,0.24129930394431554,0.002320185614849188,0.027020941229452825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Jacksonville Jaguars', 'Arizona Cardinals', 'Atlanta Falcons', 'New England Patriots', 'Miami Dolphins', 'Dallas Cowboys', 'Philadelphia Eagles', 'Dallas Cowboys', 'Arizona Cardinals', 'Tampa Bay Buccaneers']",10,BUF,HOME,8.0,0.05102396423364535,1.1870452227133628,0.8875048234676692,0.993518528471027,1.2067576338582973,1.695447409733124,0.07595018252093623,12.948162838565548,15.112185925765678,0.4594029999958345,2812.1375485302274,0.47056644314052903,0.8978507754304554,2.1910195354670896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055143859744243386,0.0,1.0416416270129765,1.08849127133186,0.9638546589566378,0.0,0.0,1.0550947956326913,1.037684023317816,1.2978797380144678,1.3386051316406191,1.5159383488255014,1.532133697730837,1.0768098206216672
CHI,0.6227758007117438,15.61111111111111,6.97508896797153,0.0498220640569395,0.010676156583629894,1.5555555555555556,1.0555555555555556,36.526315789473685,0.21052631578947367,0.11387900355871886,105.375,0.800711743772242,0.0035587188612099642,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Minnesota Vikings', 'Detroit Lions', 'Dallas Cowboys', 'Las Vegas Raiders', 'Washington Commanders', 'San Francisco 49ers', 'Minnesota Vikings', 'Detroit Lions', 'Seattle Seahawks']",9,BAL,AWAY,8.0,0.05207478048689093,0.8599115946956816,0.9911118943073034,0.9697332256218338,0.5048002654735614,1.3186813186813187,0.12239639252737815,8.098859830102155,5.9539740038355,1.5032232920385646,1718.8456738768716,1.5614967432094444,1.3771305487919085,2.162292834890966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055247683726343234,0.0,1.065483480250582,0.9459508237107018,1.1146321340110432,0.0,0.0,0.9902142046439868,1.013963510007084,1.570976626968029,1.521611376751895,1.6774353409948033,1.5108697601182373,1.4631456633076272
CIN,0.6449704142011834,8.45,5.775147928994083,0.047337278106508875,0.047337278106508875,0.5,1.205,33.941908713692946,0.20746887966804978,0.35502958579881655,71.825,2.0,0.023668639053254437,0.015535991714137753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Cleveland Browns', 'Jacksonville Jaguars', 'Minnesota Vikings', 'Denver Broncos', 'Detroit Lions', 'Green Bay Packers', 'Dallas Cowboys', 'Tennessee Titans', 'Cleveland Browns', 'Denver Broncos']",10,NYJ,HOME,8.0,0.053930632342619855,0.46545392723563406,0.8206085728932008,0.9213695229069663,2.2382465419813924,0.423861852433281,0.13972514494309643,7.525827751769626,5.867505501705108,4.6864542721468565,1171.5880476982807,3.9002718652609234,9.159140454687012,1.2597511337402054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05285545562194434,0.0,0.9895143957704539,0.9540967584254056,1.0631401153589075,0.0,0.0,0.8612988964639667,0.8508296731702014,1.3392597814516658,1.3487464155860591,1.3020203900387368,1.4584764749698287,0.7763925663684802
