,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team
0,Aaron Rodgers,18.278519693242885,26.550498405301667,194.74756798778486,1.557032055660527,0.6933328857934862,2.0165171151745267,2.382833950796708,5.150494967785494,0.0,0.0,0.0,0.0,0.0,0.36515637692810043,9,PIT
1,Alvin Kamara,0.0,0.0,0.0,0.0,0.0,0.0,16.117087852871162,62.65094950898755,0.12291037535606694,4.075000169046559,3.3823500292481907,13.01329852277388,0.04215825874713096,0.17558625050866708,7,NO
2,Anthony Richardson,3.979059482080518,8.150518775264748,51.19147003733711,0.26147515840791646,0.47859569326621004,0.3722066311856462,5.590500969494796,20.028620076533983,0.3168408947967813,0.10856026742914679,0.10856026742914679,-0.10856026742914679,0.0,0.03723617172819734,5,IND
3,Ashton Jeanty,0.0,0.0,0.0,0.0,0.0,0.0,17.68930122384524,85.35491512041058,0.5302013422818792,1.834188709040663,1.640742202921437,7.1756810106592965,0.7895775759968418,0.3947887879984209,4,LV
4,Baker Mayfield,22.01907028968266,35.03484780781908,257.91777372793234,2.167510890860606,0.48337112385709424,2.1095304869576452,2.9216313723387604,26.687986137860054,0.012457989467692578,0.0,0.0,0.0,0.0,0.8139194707156349,10,TB
5,Bijan Robinson,0.0,0.0,0.0,0.0,0.0,0.0,17.091970936007048,84.17863066568106,0.6115822424604268,5.1061103691346865,3.974178120002583,58.491386325671314,0.10722699605874514,0.38767404610043693,9,ATL
6,Bo Nix,23.185008980508695,34.744086582984956,232.65551602642745,1.9198880643904512,0.9136860689731106,0.8607846110629984,6.067306939727833,19.277983914345427,0.3167744136663436,0.0,0.0,0.0,0.0,0.2379514363137473,9,DEN
7,Breece Hall,0.0,0.0,0.0,0.0,0.0,0.0,12.264399718449129,55.55762022971005,0.0377507605960507,4.679486727504296,3.459606010717886,25.645093865440916,0.0,0.03699574538412969,8,NYJ
8,Brian Robinson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,6.596436009971738,28.53130343737868,0.018261414566781507,0.839994584969476,0.6653176951802706,2.9390791757490597,0.0,0.10648055140980472,9,SF
9,Bryce Young,20.106671722229812,33.034962805931116,183.01705931646669,1.2124522502283874,0.46112122323525623,1.8968761124177351,2.358311034982616,13.039342453638788,0.3221088816550625,0.0,0.0,0.0,0.0,0.4905112097100126,10,CAR
10,Caleb Williams,20.371360736861373,32.85921956866029,228.90771605095136,1.8508259040090609,0.5341174973046385,2.1252075443260168,6.0168553355095025,23.240033789444162,0.10589116327119297,0.0,0.0,0.0,0.0,0.8570834768538066,10,CHI
11,Cam Skattebo,0.0,0.0,0.0,0.0,0.0,0.0,15.031977891827873,56.06829846032373,0.4697986577181208,3.851559415712594,3.105408606395578,25.53335965258586,0.0,0.0,4,NYG
12,Cam Ward,15.60442163442558,30.941176470588236,152.17765495459926,0.4697986577181208,0.6711409395973155,3.6746940386893012,2.3924200552704304,13.549151204105804,0.0,0.0,0.0,0.0,0.0,0.32885906040268453,4,TEN
13,Chase Brown,0.0,0.0,0.0,0.0,0.0,0.0,13.96021127544633,41.10386931866475,0.162027496934488,3.641446114412686,3.110716687703947,22.5759762116878,0.06252406140185429,0.21883060420152073,9,CIN
14,Christian McCaffrey,0.0,0.0,0.0,0.0,0.0,0.0,16.59574264982293,53.3345572425013,0.0,10.906248887341524,7.321681870710915,78.45649134734073,0.5663242433499425,0.3954211203360123,6,SF
15,Cooper Rush,10.284137844927404,15.907976096787376,90.07823750634338,0.4845610501069209,0.256151864610336,0.3702963278129453,1.5022797375843082,-0.5062028003300433,0.0,0.0,0.0,0.0,0.0,0.15176369351093902,8,BAL
16,D'Andre Swift,0.0,0.0,0.0,0.0,0.0,0.0,13.507095887714916,43.87485043000535,0.4599936830148034,4.416688331005621,3.2415570044993656,23.955595848731374,0.0,0.15127309038741854,10,CHI
17,Dak Prescott,31.0,41.50888274772996,290.5937623371496,1.8476115278326095,0.7461508093170154,1.5278326095538886,1.1105408606395577,4.484405842874062,0.3947887879984209,0.0,0.0,0.0,0.0,0.1934465061192262,4,DAL
18,Daniel Jones,21.87761547572049,30.440979076194235,264.4042637189104,1.0,0.7895775759968418,1.1184366363995262,3.6087643110935645,10.9743387287801,0.4642716146861428,0.0,0.0,0.0,0.0,0.3947887879984209,4,IND
19,David Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,10.539593939532532,58.439239241702815,0.7109517524727069,1.6737421834015132,1.3205107234365143,9.582063580711187,0.0,0.0,8,DET
20,De'Von Achane,0.0,0.0,0.0,0.0,0.0,0.0,13.837168874322941,65.15066495990652,0.3860317309316828,5.652352863659817,4.395419841725083,31.226048675901126,0.2998773604049861,0.345041261629404,10,MIA
21,Derrick Henry,0.0,0.2217420895664405,0.0,0.0,0.0,0.0,13.365113155556916,71.91354604612935,0.5151068740628413,1.5940988230057547,1.277324409339411,11.369186483617037,0.0,0.48561517615050476,9,BAL
22,Drake Maye,20.36397071401919,27.62563393351026,228.12281168461465,1.746976241634195,0.451948586915859,2.9351824484742335,5.569408660827939,25.43249113986637,0.5092620693562836,0.10865362388755584,0.10865362388755584,0.21730724777511168,0.0,0.5629849847752689,9,NE
23,Drew Lock,9.436862663430617,15.59726534161749,115.68446605098437,0.8757837037747375,0.36952482190546415,0.7875717877392138,2.103902998173066,5.908232166353855,0.23107646192575573,0.0,0.0,0.0,0.0,0.17517537445077247,6,SEA
24,Geno Smith,19.253621478324135,29.181912847900698,210.4546857164984,1.5829851886322197,1.6384242107910842,2.508694119095638,3.044210452868236,16.800793297202482,0.0,0.0,0.0,0.0,0.0,0.18613008634877617,10,LV
25,Jahmyr Gibbs,0.0,0.0,0.0,0.0,0.0,0.0,15.774749942903437,78.02106767178329,1.0794496449232662,4.498081157807384,4.121854479339314,23.499640057567163,0.06174513730343262,0.0177971278109894,10,DET
26,Jake Browning,15.941002599583555,25.26642550899676,144.64795362309005,0.7124470435568069,1.2170970327428785,2.3705827223110423,1.8481512423295319,2.723383953826646,0.20779705437073534,0.0,0.0,0.0,0.0,0.0,4,CIN
27,Jaleel McLaughlin,0.0,0.0,0.0,0.0,0.0,0.0,9.465901368159859,56.29289262816291,0.0,2.169600193870939,1.954566766938683,7.043626229473651,0.0,0.0,4,DEN
28,Jalen Hurts,16.361274317243073,24.413721520915242,149.61713783457313,1.5331421669183998,0.0,2.3210536647624527,9.48387604883563,46.31613597767288,0.7114364825985438,0.0,0.0,0.0,0.0,0.8161354343386682,9,PHI
29,Jameis Winston,21.963679431504147,36.076194236083694,242.02408211606792,1.3264903276746942,2.4528227398341893,3.518752467429925,2.8815633636004736,10.024082116067904,0.13541255428345833,0.0,0.0,0.0,0.0,0.8065534938807738,4,NYG
30,James Cook,0.0,0.0,0.0,0.0,0.0,0.0,18.271590775415962,100.68485759524967,1.1642150808355094,2.8601833998661212,2.547568251006806,17.35595691339195,0.05254122806878512,0.20572265100984963,9,BUF
31,Jared Goff,22.035553318653953,31.17127727869473,242.18421156445376,2.3673046737166987,0.4400362241999913,0.8132565231888649,1.6128923438437455,2.492052858163077,0.0,0.0,0.0,0.0,0.0,0.2648830733088811,10,DET
32,Jaxson Dart,5.936073059360731,9.132420091324201,50.68493150684932,0.4566210045662101,0.0,2.2831050228310503,5.10958904109589,24.945205479452056,0.4566210045662101,0.0,0.0,0.0,0.0,0.4566210045662101,3,NYG
33,Jayden Daniels,22.97080713609917,36.365717060688745,223.3254816608626,2.315040853104566,0.4905169625286817,3.827150977229752,10.05798254638512,60.729098851022094,0.06727088830045022,0.0,0.0,0.0,0.0,0.12032847967307424,7,TXSO
34,Joe Flacco,21.573545851213442,38.155421730193645,201.80051206231292,0.4735494572860697,1.5708773574699793,2.3606072626302694,1.5924777325015327,1.8816847571310082,0.0,0.0,0.0,0.0,0.0,0.6238866250766291,5,CLE
35,Jonathan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,20.385890025058714,107.31993651478359,0.9770621692566068,3.504268171091965,3.093142815089515,21.691518264054725,0.17348087726328987,0.0683125977569602,9,IND
36,Jordan Love,21.834404906575163,31.647209202256246,251.2834472782502,1.9411812251940823,0.21610441483916937,1.9645007377043726,2.838559214182752,16.07637545002637,0.0,0.0,0.0,0.0,0.0,0.3087205926273848,10,GB
37,Josh Allen,19.187338016702157,27.8264750180747,223.403849363502,1.8856717320043113,0.36515637692810043,1.6884563020495826,6.8905211932579,39.581657276129626,0.7709430040029339,0.0,0.0,0.12615148859315306,0.018021641227593293,0.21883060420152073,9,BUF
38,Josh Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,19.739399387303912,68.60156436930079,1.1683810933264276,3.7221891240645224,2.845313475240152,36.66546999876018,0.0,0.3265488981310236,10,GB
39,Justin Herbert,23.636597333838886,37.74345418654649,251.17765034113475,1.5692552672356965,0.9217529390988429,2.746009278880817,3.721605651714794,19.810388712330226,0.012457989467692578,0.0,0.0,0.0,0.0,0.3150041702425297,10,LAC
40,Kareem Hunt,0.0,0.0,0.0,0.0,0.0,0.0,10.07511885533658,31.719339603048667,0.342114899131889,1.368517873096385,1.126367125730617,9.644925400303721,0.0,0.15127309038741854,10,KC
41,Kenny Pickett,10.599174549133597,17.022916700123655,130.13430974214026,0.910030138056925,0.37471829214108676,1.1241548764232603,2.910030138056925,6.297333611695493,0.5353118459158382,0.0,0.0,0.0,0.0,0.37471829214108676,3,LV
42,Kyler Murray,23.690619168251605,35.609752564961596,203.81845908662922,1.3912575657302795,1.0677497559172413,3.332248156267135,5.759340468491285,36.93153590291278,0.05188667000288456,0.0,0.0,0.0,0.0,0.06968379781387396,10,ARI
43,Mac Jones,24.86094854681887,37.42628842859877,261.36930411150416,1.7075264751647885,0.5927330363503586,1.689775994651123,3.2175527341045562,6.211250995926973,0.0,0.0,0.0,0.0,0.0,0.5280680821581901,7,SF
44,Mason Rudolph,11.693164825623462,16.92856109208432,117.3059186725194,0.7989001977714534,0.848536008875597,0.8745357194539578,2.075249626163716,7.554097728040133,0.0,0.0,0.0,0.0,0.0,0.23636100525782644,4,PIT
45,Matthew Stafford,22.462439810254928,33.828665292791904,269.0976408085714,1.9300537927695989,0.4192641752294725,1.7090969758827628,2.7903252768365396,1.9879291177531675,0.0,0.0,0.0,0.0,0.0,0.2696222431263041,10,LAR
46,Omarion Hampton,0.0,0.0,0.0,0.0,0.0,0.0,13.56691669956573,81.02013422818791,0.6711409395973155,4.5661271219897355,4.096328464271615,32.86577181208054,0.0,0.2763521515988946,4,LAC
47,Patrick Mahomes,23.13585767032537,36.479762917045335,244.49133672487008,2.135646054399229,0.15127309038741854,1.5346935909234816,4.615443635518866,22.356751152873905,0.3090509236614961,0.0,0.0,0.0,0.0,0.46246394695702076,10,KC
48,Rhamondre Stevenson,0.0,0.0,0.0,0.0,0.0,0.0,7.912381812729399,33.38168220693675,0.05324027570490236,2.330975097024336,2.120697956021997,26.011583226428225,0.0,0.5149858694045649,9,NE
49,Rico Dowdle,0.0,0.0,0.0,0.0,0.0,0.0,10.538111719083801,39.70366371604006,0.23390154265015878,1.3651697004049133,1.2338540688323067,5.39652067020498,0.0,0.08658180375752766,10,CAR
