,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team
0,Aaron Rodgers,19.320041175800572,27.77051439067914,210.70857028436848,1.7265576733798527,0.4168669093701511,1.2225385144665872,1.8424931377029667,3.5064603822250184,0.0,0.0,0.0,0.0,0.0,0.22540955968335913,9,PIT
1,Alvin Kamara,0.0,0.0,0.0,0.0,0.0,0.0,12.170790606919514,43.56660350714245,0.05530125349285267,4.804844847628096,4.051136831540105,27.045824054561773,0.01896832994804846,0.07900179070407524,8,NO
2,Anthony Richardson,1.9074318375591333,3.800940743725174,22.826558149324317,0.06961465696546269,0.16707517671711047,0.16707517671711047,2.1274047808072316,6.824677679623463,0.11834491684128659,0.640445080787712,0.640445080787712,5.276703128331169,0.0,0.0,4,IND
3,Ashton Jeanty,0.0,0.0,0.0,0.0,0.0,0.0,18.616887157151748,77.46575682466502,0.5637450402390886,3.8000319600703123,2.5623952372695222,16.76415848114866,0.3332007330416127,0.16660036652080634,6,LV
4,Baker Mayfield,21.97498414563081,30.928182744075002,283.4717168331913,2.10300975882742,0.21941066543520651,1.523612575566261,3.387703787285161,20.393974955567362,0.0,0.0,0.0,0.0,0.0,0.6778911183449372,10,TB
5,Bijan Robinson,0.0,0.0,0.0,0.0,0.0,0.0,17.74430854382924,117.77929330183282,0.7602312838221851,6.2358629679232935,4.7494683187278826,62.519735131347005,0.06619079247938238,0.23930962610402945,9,ATL
6,Bo Nix,22.089624287265984,34.14522561436856,215.57267704959736,1.4386454209284982,0.4241665596506857,1.160341341479934,5.12083933191004,21.57299018681353,0.1531814229410645,0.0,0.0,0.0,0.0,0.1150652894706394,9,DEN
7,Breece Hall,0.0,0.0,0.0,0.0,0.0,0.0,15.690033117229671,69.16468206847104,0.01802164122759329,3.319238491630531,2.5268859172380593,21.433464693906263,0.0,0.21883060420152073,9,NYJ
8,Brian Robinson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,4.111770222638663,15.43283261733679,0.0,1.3228450481968308,1.2445586183743413,3.80118147956192,0.0,0.0514904035074094,9,SF
9,Bryce Young,18.851574980567804,29.77347725553531,189.69823343041153,1.9376472027058487,0.7507744068518296,1.865573709923859,2.6855724071414815,7.878646808810168,0.14911275938359578,0.0,0.0,0.0,0.0,0.4503504927579062,10,CAR
10,Caleb Williams,18.957197858535714,31.160915595559974,236.83562066630162,1.5018003676979452,0.3338679010745757,2.430932515784615,5.245127926726444,13.048455384926912,0.46001950955787585,0.0,0.0,0.0,0.0,0.5357485251970138,9,CHI
