,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team
0,Aaron Rodgers,20.370806414803827,30.461352236788112,221.6308690628757,2.0441955603343467,0.5023408556245539,2.944122326183461,1.2836183371659635,6.060992923353005,0.0,0.0,0.0,0.0,0.0,0.20182510949820184,9,PIT
1,Alvin Kamara,0.0,0.0,0.0,0.0,0.0,0.0,12.49284276261668,48.380105548953914,0.5177253855092849,3.6046152224629973,3.160485105724833,25.2753499864118,0.1775798072296847,0.0,7,NO
2,Anthony Richardson,11.838632163415838,23.497717416580652,153.31422953120347,0.7564020447378191,1.2589906044868369,1.116258766221845,8.5953646625897,56.580465655176916,0.9706140332983841,0.28557790769306085,0.28557790769306085,-0.28557790769306085,0.0,0.23508773361292765,5,IND
3,Ashton Jeanty,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,1.0,2.0,2.0,2.0,0.0,0.0,1,LV
4,Baker Mayfield,22.57861683909548,32.84711001588089,261.4106871058869,3.129327390603518,0.522468711436447,2.0690701267046365,3.055404670781139,24.76307863330202,0.03726819299343164,0.0,0.0,0.0,0.0,0.4670781805148099,9,TB
5,Bijan Robinson,0.0,0.0,0.0,0.0,0.0,0.0,17.551015685832603,73.10761657276991,0.9301431726667929,4.644236464623914,3.7470316729713704,40.828793635481446,0.3203561420246251,0.22424929941723756,9,ATL
6,Bo Nix,24.39998405448302,36.41839975783439,210.3871097165393,1.9863062393782809,1.368919990537202,1.4003363917967773,6.107094280366054,20.898373010533234,0.0,0.013455351438958396,0.013455351438958396,0.026910702877916793,0.013455351438958396,0.749447103591644,9,DEN
7,Breece Hall,0.0,0.0,0.0,0.0,0.0,0.0,14.042801783058996,68.2862251210882,0.1476193774375633,3.283983985905129,2.333490274495924,26.096528265175596,0.028581092268977454,0.1306622546770131,8,NYJ
8,Brian Robinson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,11.994882652568622,45.87404527145178,0.08632125910089897,2.2008138505152566,1.6466572216565507,10.072047369502867,0.0,0.3378060113131234,7,SF
9,Brock Purdy,23.453219515009856,33.47492395191621,282.4415753723297,1.8687206493816635,1.400555978643077,1.8865847298231755,3.7589600238877914,15.174928068206611,0.253914491396945,0.0,0.0,0.0,0.0,0.07325718502254097,8,SF
10,Bryce Young,17.821641989738687,31.50217928014754,186.79767861418526,1.3769615522629484,0.939696602025835,2.777943596089989,4.020997385674384,30.822686673742023,0.3171133622889665,0.0,0.0,0.0,0.0,1.0148340335677677,9,CAR
11,Caleb Williams,20.383636606803233,33.45804325608144,208.22318476202256,1.0937069132657775,0.21610441483916942,3.842958145504806,5.300261204757904,38.695081123030334,0.30872059262738494,0.0,0.0,0.0,0.0,0.6986655731750347,10,CHI
12,Cam Skattebo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,2.0,2.0,12.0,0.0,0.0,1,NYG
13,Cam Ward,12.0,28.0,112.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,TEN
14,Chase Brown,0.0,0.0,0.0,0.0,0.0,0.0,19.677557627979805,66.5693076351927,0.5025484496081472,3.8879658755689257,3.3240735143318045,22.085857017409477,0.19972719226985677,0.018467894078997,9,CIN
15,Christian McCaffrey,0.0,0.0,0.0,0.0,0.0,0.0,18.786830667488587,63.34273778232298,0.0,8.269577993471952,7.269577993471952,60.2148703101029,0.0,0.08251893211864805,5,SF
16,Cooper Rush,19.43483927522041,31.62755100878079,206.12123552784507,1.4403858682559545,0.7692361534255254,1.2684888922413735,2.524815807857676,1.3016258916944627,0.0,0.0,0.0,0.0,0.0,0.5770327352233375,9,BAL
17,D'Andre Swift,0.0,0.0,0.0,0.0,0.0,0.0,14.13557286816938,48.62701949818785,0.025424468301413435,3.776419787582593,2.780543034193915,19.865497364556187,0.0,0.012457989467692582,10,CHI
18,Dak Prescott,20.88363492933033,33.61211643110111,185.8666403710561,0.03878835688988964,0.0,0.11636507066966889,1.0775767137797794,4.04728563602702,0.0,0.0,0.0,0.0,0.0,0.0,2,DAL
19,Daniel Jones,21.926496270360225,29.309765717767608,264.0930987973217,0.9842492007914776,0.10500532805681646,1.089254528848294,7.0,27.029052214956803,1.910745471151706,0.0,0.0,0.0,0.0,0.03675186481988576,3,IND
20,David Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,11.3021898457095,33.53905738394318,0.28309228518631135,3.861591646156189,3.8334593429927297,24.79093159864205,0.0,0.02813230316345903,8,DET
21,De'Von Achane,0.0,0.0,0.0,0.0,0.0,0.0,10.723848941190107,51.843531088630016,0.26327936244635974,4.888717809863185,4.266392973553642,32.195100798256775,0.4457065901020004,0.10589116327119301,10,MIA
22,Derrick Henry,0.0,0.0,0.0,0.0,0.0,0.0,20.80642022888153,139.39771032468676,0.9738701449050863,1.3278133181759393,1.3278133181759393,14.993463872513193,0.0,0.374351404373404,9,BAL
23,Drake Maye,22.2542648316911,34.22109539686434,224.84891046221233,1.1908436153947533,0.7800500450119299,3.3593696779265887,4.915208590636217,24.446776767530814,0.11436860014924394,0.33343615203861215,0.33343615203861215,0.6668723040772243,0.0,1.1015765212376654,9,NE
24,Drew Lock,18.282359036704918,30.580608444130757,235.4398144559537,1.917451665939123,0.8090422124944413,1.7243194066507013,3.416898868703517,14.124968892406482,0.5059216619002354,0.0,0.0,0.0,0.0,0.38353113003178074,5,SEA
25,Geno Smith,22.270237944902597,30.72570249929997,261.592703745441,0.9796804842801224,0.831067659739896,3.084477276432476,2.0222132422782617,10.227909856869239,0.0258851496175638,0.0,0.0,0.0,0.0,0.5910548494380532,9,LV
26,Jahmyr Gibbs,0.0,0.0,0.0,0.0,0.0,0.0,14.09119894311654,65.71927892741212,0.5837924642709255,6.314210583892344,5.817126709678089,40.708523814183394,0.1800149775610281,0.05188667000288458,10,DET
27,Jake Browning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,CIN
28,Jaleel McLaughlin,0.0,0.0,0.0,0.0,0.0,0.0,8.762987248697343,51.327789639485474,0.0,1.9905239873521798,1.8011901134793031,6.469218963235872,0.0,0.0,7,DEN
29,Jalen Hurts,14.98743517479383,20.15894014441385,142.88450807424232,0.6489990992613449,0.022703441820428157,1.5820881200836154,10.716825287936635,51.31471568053459,1.1772225327948924,0.0,0.0,0.0,0.0,0.3185357592282801,9,PHI
30,Jameis Winston,22.795432602415495,37.3043297775075,254.4440956305788,1.3691430836783132,2.27136531051295,3.5766488200808855,2.811501448240577,10.546859308781219,0.11865436950769505,0.0,0.0,0.0,0.0,0.7474356991907634,6,NYG
31,James Cook,0.0,0.0,0.0,0.0,0.0,0.0,12.726345388853614,63.08932898345691,1.0464198269861746,2.6815287441356843,2.605282724295254,27.731107357965918,0.15697450959206627,0.15697450959206627,9,BUF
32,Jared Goff,28.19950592868833,38.13203717581146,296.84661762741115,2.4162038258337133,0.47183004597216704,2.383468261155346,1.897981488660682,1.383623676041203,0.0,0.0,0.0,0.0,0.0,0.14221183227321219,10,DET
33,Jayden Daniels,22.231885404748624,33.32324602079955,232.94595417504203,2.3802571498083056,0.7221301100962126,3.6547079460636227,11.267283052669402,78.96815059621933,0.0952690439243202,0.0,0.0,0.0,0.0,0.17040921422237348,9,TXSO
34,Joe Flacco,28.55642925264399,41.55014491235577,302.5044856636522,1.398939798617545,2.009618680448606,2.0865681240374547,1.5465543455070205,3.7039156861892857,0.0,0.0,0.0,0.0,0.0,0.44382697404437316,4,CLE
35,Jonathan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,23.795203279678528,111.85998538228579,0.9569617563508167,2.4177917776903604,1.7437980996591425,12.804157188381435,0.05604061407312953,0.2096376440735641,9,IND
36,Jordan Love,16.953760706006815,25.51249860386612,198.78083464249013,1.4992462548423766,0.038568872930170056,0.8353700527103541,1.9052257605187684,5.592275633707222,0.0258851496175638,0.0,0.0,0.0,0.0,0.03805116993781878,9,GB
37,Josh Allen,23.03257266052038,35.083427770559815,280.38079782664187,1.8695520319782117,0.23322052943249674,0.5271939656299833,9.177675808481844,35.34547691823633,1.4141712826919322,0.0,0.0,0.37689579753055114,0.05384225679007873,0.0,9,BUF
38,Josh Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,18.471941306451445,71.03159271347945,1.2122076640353243,1.7773734078936712,1.7018257497955527,17.213221164500432,0.0,0.3278300107112689,9,GB
39,Justin Herbert,23.094865539180148,33.188988901089346,267.82539138623497,2.2564893873559226,0.2571642536586116,2.299065790771558,5.045423859399442,20.949644824012452,0.054117796813008594,0.0,0.0,0.0,0.0,0.061745137303432625,10,LAC
40,Kareem Hunt,0.0,0.0,0.0,0.0,0.0,0.0,8.785556340179578,30.24974112319604,0.3798354946942806,2.209145813473833,1.4497755747470804,10.088878237321817,0.0,0.0,10,KC
41,Kenny Pickett,10.193861048593376,16.388592266821124,124.8506653142088,0.8716052194386626,0.3588962668276846,1.0766888004830537,2.829381432542652,6.073660126158191,0.512708952610978,0.0,0.0,0.0,0.0,0.3588962668276846,4,LV
42,Kyler Murray,24.58742783578316,35.415565514852304,229.49510885622803,1.234127143309898,0.8945674596752038,3.384805513958666,5.645154225118898,34.67524580349001,0.19174229183007135,0.0,0.0,0.0,0.0,0.23950414316493926,9,ARI
43,Mac Jones,21.369588200988513,32.08089527195373,218.02820954791582,1.399278659439785,0.655327919483995,1.4758020348637064,3.4833534038322855,13.508436588799322,0.027699777535479503,0.0,0.0,0.0,0.0,0.027699777535479503,7,SF
44,Mason Rudolph,20.707406138739664,30.89557796462979,216.06831685358065,1.5550904787800828,1.6228733297078841,1.671813377042075,4.008898190424398,14.706623120227796,0.0,0.0,0.0,0.0,0.0,0.4705576697482984,4,PIT
