player,team,pos,year,active
Clayton Tune,ARI,QB,2023,True
Damien Williams,ARI,RB,2023,True
DeeJay Dallas,ARI,RB,2023,True
Elijah Higgins,ARI,TE,2023,True
Emari Demercado,ARI,RB,2023,True
Geoff Swaim,ARI,TE,2023,True
Greg Dortch,ARI,WR,2023,True
James Conner,ARI,RB,2023,True
Joshua Dobbs,ARI,QB,2023,True
Keaontay Ingram,ARI,RB,2023,True
Kyler Murray,ARI,QB,2023,True
Marquise Brown,ARI,WR,2023,True
Marvin Harrison Jr.,ARI,WR,2023,True
Michael Carter,ARI,RB,2023,True
Michael Wilson,ARI,WR,2023,True
Rondale Moore,ARI,WR,2023,True
Tip Reiman,ARI,TE,2023,True
Tony Jones,ARI,RB,2023,True
Trey Benson,ARI,RB,2023,True
Trey McBride,ARI,TE,2023,True
Xavier Weaver,ARI,WR,2023,True
Zach Ertz,ARI,TE,2023,True
Zach Pascal,ARI,WR,2023,True
Zay Jones,ARI,WR,2023,True
Zeke Turner,ARI,LB,2023,True
Bijan Robinson,ATL,RB,2023,True
Casey Washington,ATL,WR,2023,True
Charlie Woerner,ATL,TE,2023,True
Chris Blair,ATL,WR,2023,True
Cordarrelle Patterson,ATL,RB,2023,True
Damiere Byrd,ATL,WR,2023,True
Darnell Mooney,ATL,WR,2023,True
Desmond Ridder,ATL,QB,2023,True
Drake London,ATL,WR,2023,True
Jase McClellan,ATL,RB,2023,True
Jonnu Smith,ATL,TE,2023,True
Keith Smith,ATL,FB,2023,True
KhaDarel Hodge,ATL,WR,2023,True
Kirk Cousins,ATL,QB,2023,True
Kyle Pitts,ATL,TE,2023,True
Mack Hollins,ATL,WR,2023,True
Michael Penix,ATL,QB,2023,True
MyCole Pruitt,ATL,TE,2023,True
Ray-Ray McCloud,ATL,WR,2023,True
Ross Dwelley,ATL,TE,2023,True
Scott Miller,ATL,WR,2023,True
Taylor Heinicke,ATL,QB,2023,True
Tyler Allgeier,ATL,RB,2023,True
Van Jefferson,ATL,WR,2023,True
Anthony Miller,BAL,WR,2023,True
Charlie Kolar,BAL,TE,2023,True
Derrick Henry,BAL,RB,2023,True
Devin Duvernay,BAL,WR,2023,True
Devontez Walker,BAL,WR,2023,True
Diontae Johnson,BAL,WR,2023,True
Gus Edwards,BAL,RB,2023,True
Isaiah Likely,BAL,TE,2023,True
J.K. Dobbins,BAL,RB,2023,True
Josh Johnson,BAL,QB,2023,True
Justice Hill,BAL,RB,2023,True
Keaton Mitchell,BAL,RB,2023,True
Kenyan Drake,BAL,RB,2023,True
Lamar Jackson,BAL,QB,2023,True
Mark Andrews,BAL,TE,2023,True
Melvin Gordon,BAL,RB,2023,True
Nelson Agholor,BAL,WR,2023,True
Odell Beckham Jr.,BAL,WR,2023,True
Patrick Ricard,BAL,FB,2023,True
Rasheen Ali,BAL,RB,2023,True
Rashod Bateman,BAL,WR,2023,True
Tylan Wallace,BAL,WR,2023,True
Tyler Huntley,BAL,QB,2023,True
Zay Flowers,BAL,WR,2023,True
Amari Cooper,BUF,WR,2023,True
Curtis Samuel,BUF,WR,2023,True
Dalton Kincaid,BUF,TE,2023,True
Damien Harris,BUF,RB,2023,True
Dawson Knox,BUF,TE,2023,True
Deonte Harty,BUF,WR,2023,True
Gabriel Davis,BUF,WR,2023,True
James Cook,BUF,RB,2023,True
Josh Allen,BUF,QB,2023,True
Keon Coleman,BUF,WR,2023,True
Khalil Shakir,BUF,WR,2023,True
Kyle Allen,BUF,QB,2023,True
Latavius Murray,BUF,RB,2023,True
Marquez Valdes-Scantling,BUF,WR,2023,True
Mike White,BUF,QB,2023,True
Mitchell Trubisky,BUF,QB,2023,True
Quintin Morris,BUF,TE,2023,True
Ray Davis,BUF,RB,2023,True
Reggie Gilliam,BUF,FB,2023,True
Stefon Diggs,BUF,WR,2023,True
Trent Sherfield,BUF,WR,2023,True
Ty Johnson,BUF,RB,2023,True
Tyrell Shavers,BUF,WR,2023,True
Zach Davidson,BUF,TE,2023,True
Adam Thielen,CAR,WR,2023,True
Andy Dalton,CAR,QB,2023,True
Bryce Young,CAR,QB,2023,True
Chuba Hubbard,CAR,RB,2023,True
DJ Chark,CAR,WR,2023,True
Dan Chisena,CAR,WR,2023,True
David Moore,CAR,WR,2023,True
Deven Thompkins,CAR,WR,2023,True
Feleipe Franks,CAR,TE,2023,True
Giovanni Ricci,CAR,TE,2023,True
Hayden Hurst,CAR,TE,2023,True
Ian Thomas,CAR,TE,2023,True
Ja'Tavion Sanders,CAR,TE,2023,True
Jalen Coker,CAR,WR,2023,True
Johnny Hekker,CAR,P,2023,True
Jonathan Mingo,CAR,WR,2023,True
Jonathon Brooks,CAR,RB,2023,True
Jordan Matthews,CAR,TE,2023,True
Laviska Shenault Jr.,CAR,WR,2023,True
Mike Boone,CAR,RB,2023,True
Miles Sanders,CAR,RB,2023,True
Raheem Blackshear,CAR,RB,2023,True
Sam Franklin,CAR,SS,2023,True
Stephen Sullivan,CAR,TE,2023,True
Terrace Marshall Jr.,CAR,WR,2023,True
Tommy Tremble,CAR,TE,2023,True
Velus Jones Jr.,CAR,RB,2023,True
Xavier Legette,CAR,WR,2023,True
Caleb Williams,CHI,QB,2023,True
Chase Claypool,CHI,WR,2023,True
Cole Kmet,CHI,TE,2023,True
Collin Johnson,CHI,WR,2023,True
D'Andre Swift,CHI,RB,2023,True
D'Onta Foreman,CHI,RB,2023,True
D.J. Moore,CHI,WR,2023,True
Darrynton Evans,CHI,RB,2023,True
DeAndre Carter,CHI,WR,2023,True
Equanimeous St. Brown,CHI,WR,2023,True
Gerald Everett,CHI,TE,2023,True
Justin Fields,CHI,QB,2023,True
Keenan Allen,CHI,WR,2023,True
Khalil Herbert,CHI,RB,2023,True
Khari Blasingame,CHI,FB,2023,True
Marcedes Lewis,CHI,TE,2023,True
Nathan Peterman,CHI,QB,2023,True
Robert Tonyan,CHI,TE,2023,True
Rome Odunze,CHI,WR,2023,True
Roschon Johnson,CHI,RB,2023,True
Travis Homer,CHI,RB,2023,True
Trent Taylor,CHI,WR,2023,True
Tyler Scott,CHI,WR,2023,True
Tyson Bagent,CHI,QB,2023,True
Andrei Iosivas,CIN,WR,2023,True
Cam Grandy,CIN,TE,2023,True
Charlie Jones,CIN,WR,2023,True
Chase Brown,CIN,RB,2023,True
Chris Evans,CIN,RB,2023,True
Drew Sample,CIN,TE,2023,True
Erick All,CIN,TE,2023,True
Irv Smith Jr.,CIN,TE,2023,True
Ja'Marr Chase,CIN,WR,2023,True
Jake Browning,CIN,QB,2023,True
Jermaine Burton,CIN,WR,2023,True
Joe Burrow,CIN,QB,2023,True
Joe Mixon,CIN,RB,2023,True
Kendric Pryor,CIN,WR,2023,True
Kwamie Lassiter II,CIN,WR,2023,True
Mike Gesicki,CIN,TE,2023,True
Mitchell Wilcox,CIN,TE,2023,True
Sam Hubbard,CIN,DE,2023,True
Tanner Hudson,CIN,TE,2023,True
Tee Higgins,CIN,WR,2023,True
Trayveon Williams,CIN,RB,2023,True
Trenton Irwin,CIN,WR,2023,True
Tyler Boyd,CIN,WR,2023,True
Zack Moss,CIN,RB,2023,True
Bailey Zappe,CLE,QB,2023,True
Blake Whiteheart,CLE,TE,2023,True
Brenden Bates,CLE,TE,2023,True
Cedric Tillman,CLE,WR,2023,True
David Bell,CLE,WR,2023,True
