,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,targets,rec,rec_yd,rec_td,off_fum,def_pass_cmp,def_pass_att,def_pass_yd,def_pass_td,def_int,def_sacks,def_rush_att,def_rush_yd,def_rush_td,def_targets,def_rec,def_rec_yd,def_rec_td,def_fum,opps,games,next_op,next_game_location,next_game_week
0,ARI,24.86111111111111,36.84848484848485,234.86565656565656,1.1353535353535353,1.1555555555555557,2.9575757575757575,24.623232323232326,123.9530303030303,0.5,35.39646464646464,24.86111111111111,234.86565656565656,1.1353535353535353,0.4853535353535353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['NOR', 'CAR', 'Arizona Cardinals', 'Arizona Cardinals', 'Arizona Cardinals', 'Arizona Cardinals', 'Arizona Cardinals', 'New England Patriots', 'Arizona Cardinals', 'Arizona Cardinals']",10.0,IND,AWAY,6.0
1,ATL,20.973051948051946,33.53409090909091,246.302886002886,0.6,1.392929292929293,1.5035714285714286,35.55955988455989,149.63805916305915,1.315079365079365,32.99116161616161,20.973051948051946,246.302886002886,0.6,1.1587662337662337,8.620454545454546,14.54090909090909,83.22272727272727,0.425,0.1818181818181818,0.3159090909090909,10.618181818181817,40.63409090909091,0.30681818181818177,14.159090909090907,8.620454545454544,83.22272727272727,0.425,0.21590909090909088,"['ATL', 'Minnesota Vikings', 'ATL', 'Washington Commanders', 'Atlanta Falcons', 'Atlanta Falcons', 'Las Vegas Raiders', 'New York Giants', 'Atlanta Falcons']",9.0,BUF,HOME,6.0
2,Arizona Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.13333333333333,51.292929292929294,342.95454545454544,1.6575757575757575,1.2666666666666666,4.146464646464646,36.101010101010104,174.7141414141414,0.9333333333333333,48.23535353535353,34.13333333333333,342.95454545454544,1.6575757575757575,0.9242424242424242,,,,BYE,
3,Atlanta Falcons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.499358974358975,22.346153846153847,176.06068376068376,1.0583333333333333,0.9611111111111111,1.8901709401709401,19.232692307692307,89.53269230769232,0.8111111111111111,22.110042735042736,14.499358974358977,176.06068376068376,1.0583333333333333,0.814957264957265,,,,BYE,
4,BAL,17.327272727272728,24.797474747474748,212.15732323232322,2.45530303030303,0.2361111111111111,2.5005050505050503,28.350757575757576,167.67424242424244,0.975,23.970454545454544,17.327272727272728,212.15732323232322,2.45530303030303,1.2353535353535354,14.178282828282828,19.88712121212121,162.64974747474747,1.3315656565656564,0.1111111111111111,1.465151515151515,17.891161616161614,105.23989898989899,1.3588383838383837,19.031060606060603,14.178282828282828,162.64974747474747,1.3315656565656564,0.7770202020202019,"['BAL', 'CLE', 'BAL', 'BAL', 'Los Angeles Chargers', 'Baltimore Ravens', 'New York Giants', 'Pittsburgh Steelers', 'Houston Texans']",9.0,LAR,HOME,6.0
5,BUF,16.624192474192473,25.198892773892773,212.54139194139194,1.6923160173160172,0.18333333333333335,0.6996503496503497,25.455203130203127,131.77524975024974,2.051656676656677,24.300890775890775,16.624192474192476,212.54139194139194,1.6923160173160172,0.4587412587412587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['BAL', 'NYJ', 'MIA', 'NOR', 'San Francisco 49ers', 'Buffalo Bills', 'Detroit Lions', 'New England Patriots', 'New York Jets']",9.0,ATL,AWAY,6.0
6,Baltimore Ravens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,6.875,44.375,0.375,0.0,0.625,8.125,38.25000000000001,0.25,6.5,4.25,44.375,0.375,0.625,,,,BYE,
7,Buffalo Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.305555555555555,7.958333333333333,78.30555555555556,0.5972222222222222,0.0,0.0,6.791666666666667,28.097222222222225,0.7083333333333333,7.958333333333334,5.305555555555556,78.30555555555556,0.5972222222222222,0.0,,,,BYE,
8,CAR,20.90858585858586,34.848484848484844,215.94040404040402,1.3838383838383839,0.6464646464646464,2.4580808080808083,24.454545454545453,102.98232323232324,0.9151515151515152,32.477777777777774,20.90858585858586,215.94040404040405,1.3838383838383839,0.9186868686868687,11.987373737373737,19.12121212121212,123.34343434343434,0.9343434343434343,0.5151515151515151,0.6691919191919191,14.828282828282829,64.50757575757575,0.47474747474747475,18.22222222222222,11.987373737373737,123.34343434343434,0.9343434343434343,0.28535353535353536,"['CAR', 'CAR', 'ATL', 'CAR', 'Carolina Panthers', 'Carolina Panthers', 'Carolina Panthers', 'Carolina Panthers', 'Arizona Cardinals', 'Carolina Panthers']",10.0,DAL,HOME,6.0
9,CHI,26.484920634920634,42.94880952380952,289.4555555555556,2.221825396825397,0.3678571428571428,4.231349206349206,28.434126984126983,110.43769841269841,0.47896825396825393,41.33968253968254,26.484920634920634,289.4555555555556,2.221825396825397,1.4023809523809523,8.358333333333334,12.488888888888889,98.00833333333334,1.0611111111111111,0.22499999999999998,0.9972222222222222,11.838888888888889,59.32222222222222,0.5361111111111111,12.377777777777776,8.358333333333334,98.00833333333333,1.0611111111111111,0.3111111111111111,"['CHI', 'CHI', 'DAL', 'Las Vegas Raiders', 'Chicago Bears', 'Chicago Bears', 'Chicago Bears', 'Chicago Bears', 'Chicago Bears', 'Chicago Bears']",10.0,WAS,AWAY,6.0
