player,team,included,reason,snap_pct_weighted,snap_pct_recent,trend,games_analyzed
Curtis Samuel,BUF,False,snap_pct_too_low_0.9%,0.8572034332002747,1.2125220458553791,1.2125220458553791,4
D'Andre Swift,CHI,True,included,23.246019279255894,23.48880881084099,0.13783879320430614,10
D'Wayne Eskridge,MIA,False,missing_snap_data_no_touches,0.0,0.0,0.0,3
D.J. Moore,CHI,False,recent_snap_pct_too_low_3.5%,2.677094981644351,3.531329126416169,2.5789481740352165,10
D.K. Metcalf,PIT,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
DJ Giddens,IND,False,recent_snap_pct_too_low_6.4%,4.752754147609576,6.426032266885425,0.0,3
Dak Prescott,DAL,True,included,63.29377623297876,64.1365578865579,1.6365578865578954,4
Dallas Goedert,PHI,False,missing_snap_data_no_touches,0.0,0.0,0.0,5
Dalton Kincaid,BUF,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Dalton Schultz,HOU,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Dameon Pierce,HOU,False,recent_snap_pct_too_low_4.0%,5.2742349736315095,3.9965986394557818,-1.5589569160997736,4
Daniel Bellinger,NYG,False,missing_snap_data_no_touches,0.0,0.0,0.0,6
Daniel Jones,IND,True,included,58.76726080785571,59.42866823369968,7.254755190221424,4
Dare Ogunbowale,HOU,False,snap_pct_too_low_2.5%,2.533446669852326,2.085181898846495,-1.6185218048572083,4
Darius Slayton,NYG,False,snap_pct_too_low_0.4%,0.4155854131522488,0.6410256410256411,0.6410256410256411,10
Darnell Mooney,ATL,False,missing_snap_data_no_touches,0.0,0.0,0.0,8
Darnell Washington,PIT,False,missing_snap_data_no_touches,0.0,0.0,0.0,6
Davante Adams,LAR,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
David Montgomery,DET,True,included,15.850562537757158,18.922235668504328,3.639752451238502,8
David Njoku,CLE,False,missing_snap_data_no_touches,0.0,0.0,0.0,8
Davis Allen,LAR,False,missing_snap_data_no_touches,0.0,0.0,0.0,6
Dawson Knox,BUF,False,missing_snap_data_no_touches,0.0,0.0,0.0,8
De'Von Achane,MIA,True,included,20.997222008282048,21.92313585971645,5.755206566787159,10
DeAndre Hopkins,BAL,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
DeVonta Smith,PHI,False,snap_pct_too_low_0.2%,0.21080090110347047,0.45045045045045035,0.45045045045045035,8
Deebo Samuel,WAS,False,recent_snap_pct_too_low_5.9%,5.333695526099011,5.931034482758622,3.1532567049808446,10
Demario Douglas,NWE,False,snap_pct_too_low_0.5%,0.5081648334711215,0.5050505050505051,-0.05992124636192431,8
Derius Davis,LAC,False,recent_snap_pct_too_low_1.6%,1.5210554034114352,1.6151561349301462,0.357703560404401,7
Derrick Henry,BAL,True,included,35.65639089999117,36.448087431693985,8.241706574266267,9
Devaughn Vele,NOR,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Devin Duvernay,CHI,False,snap_pct_too_low_0.2%,0.21699700189856558,0.0,-0.8771929824561403,5
Devin Singletary,NYG,False,recent_snap_pct_too_low_10.4%,8.837558433737584,10.387119225252293,3.776626294004645,10
Devontez Walker,BAL,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Dont'e Thornton,LVR,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Dontayvion Wicks,GNB,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
Drake London,ATL,False,snap_pct_too_low_0.1%,0.09876170689621264,0.0,-0.43859649122807015,9
Drake Maye,NWE,True,included,61.844095175832074,61.57317859445519,4.534284811903305,9
Drew Lock,SEA,True,included,57.26671680492459,68.25108853410741,42.499417656650365,6
Drew Sample,CIN,False,missing_snap_data_no_touches,0.0,0.0,0.0,8
