,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,snap_pct_weighted,snap_pct_recent,snap_pct_trend,pos,snap_adjustment_factor,projection_adjusted
0,Aaron Jones,0.0,0.0,0.0,0.0,0.0,0.0,10.047439789457018,41.17778022626131,0.1561595789700619,2.9038363467561625,2.07099363158346,20.269118198604325,0.2603005061834697,0.10112536611717665,8,MIN,22.788065607448118,24.662245148612133,0.8777664202343871,RB,0.4,True
1,Aaron Rodgers,18.278519693242885,26.550498405301667,194.74756798778486,1.557032055660527,0.6933328857934862,2.0165171151745267,2.382833950796708,5.150494967785494,0.0,0.0,0.0,0.0,0.0,0.36515637692810043,9,PIT,55.58021872099244,57.08054372083587,-3.7037700046543165,QB,0.8,True
2,Mason Rudolph,11.693164825623462,16.92856109208432,117.3059186725194,0.7989001977714534,0.848536008875597,0.8745357194539578,2.075249626163716,7.554097728040133,0.0,0.0,0.0,0.0,0.0,0.23636100525782644,4,PIT,50.99837877719027,56.87451209992194,53.30308352849337,QB,0.8,True
3,Jaylen Warren,0.0,0.0,0.0,0.0,0.0,0.0,13.272548822053459,45.48221924593843,0.01802164122759329,4.540076744705693,3.939335151546805,43.35272909945695,0.1531814229410645,0.07505889724112161,9,PIT,16.47749041736875,15.828504141197639,3.5278655342065743,RB,0.4,True
4,Spencer Rattler,22.10347849938162,33.63858044559027,178.94851738530457,1.1533042654697776,0.4407812296183592,2.431497254332472,4.018756912390042,28.95155287056867,0.0,0.3269235610214269,0.0,0.0,0.0,0.6205564958240418,7,NOR,65.83986303516546,64.44727891156462,6.815637545340721,QB,0.8,True
5,Alvin Kamara,0.0,0.0,0.0,0.0,0.0,0.0,16.117087852871162,62.65094950898755,0.12291037535606694,4.075000169046559,3.3823500292481907,13.01329852277388,0.04215825874713096,0.17558625050866708,7,NOR,22.11829594158235,23.60089869281046,-4.224646847986506,RB,0.4,True
6,Daniel Jones,21.87761547572049,30.440979076194235,264.4042637189104,1.0,0.7895775759968418,1.1184366363995262,3.6087643110935645,10.9743387287801,0.4642716146861428,0.0,0.0,0.0,0.0,0.3947887879984209,4,IND,58.76726080785571,59.42866823369968,7.254755190221424,QB,0.8,True
7,Anthony Richardson,3.979059482080518,8.150518775264748,51.19147003733711,0.26147515840791646,0.47859569326621004,0.3722066311856462,5.590500969494796,20.028620076533983,0.3168408947967813,0.10856026742914679,0.10856026742914679,-0.10856026742914679,0.0,0.03723617172819734,5,IND,48.34959830602118,51.32305041858462,8.77395530884261,QB,0.6,True
8,Jonathan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,20.385890025058714,107.31993651478359,0.9770621692566068,3.504268171091965,3.093142815089515,21.691518264054725,0.17348087726328987,0.0683125977569602,9,IND,39.89334301760884,41.34665919011336,9.0020227403866,RB,0.6,True
9,Drake Maye,20.36397071401919,27.62563393351026,228.12281168461465,1.746976241634195,0.451948586915859,2.9351824484742335,5.569408660827939,25.43249113986637,0.5092620693562836,0.10865362388755584,0.10865362388755584,0.21730724777511168,0.0,0.5629849847752689,9,NWE,61.844095175832074,61.57317859445519,4.534284811903305,QB,0.8,True
10,Antonio Gibson,0.0,0.0,0.0,0.0,0.0,0.0,6.248090438139709,28.319257342521343,0.33503582823312517,0.5465135410955154,0.3490193902899234,1.9154175138865672,0.0,0.27498236527134284,9,NWE,17.453219631521534,19.10595314850634,7.635666879073735,RB,0.4,True
11,Rhamondre Stevenson,0.0,0.0,0.0,0.0,0.0,0.0,7.912381812729399,33.38168220693675,0.05324027570490236,2.330975097024336,2.120697956021997,26.011583226428225,0.0,0.5149858694045649,9,NWE,15.78920477557791,16.795615731785947,-3.9432025766882326,RB,0.4,True
12,Geno Smith,19.253621478324135,29.181912847900698,210.4546857164984,1.5829851886322197,1.6384242107910842,2.508694119095638,3.044210452868236,16.800793297202482,0.0,0.0,0.0,0.0,0.0,0.18613008634877617,10,LVR,57.63232718866391,56.94835405426537,-0.6000022645827556,QB,0.8,True
13,Kenny Pickett,10.599174549133597,17.022916700123655,130.13430974214026,0.910030138056925,0.37471829214108676,1.1241548764232603,2.910030138056925,6.297333611695493,0.5353118459158382,0.0,0.0,0.0,0.0,0.37471829214108676,3,LVR,27.022757311578196,24.2639262702879,0.0,QB,0.4,True
14,Ashton Jeanty,0.0,0.0,0.0,0.0,0.0,0.0,17.68930122384524,85.35491512041058,0.5302013422818792,1.834188709040663,1.640742202921437,7.1756810106592965,0.7895775759968418,0.3947887879984209,4,LVR,32.05351900936439,29.317037423998375,-3.4415832656567993,RB,0.6,True
15,Baker Mayfield,22.01907028968266,35.03484780781908,257.91777372793234,2.167510890860606,0.48337112385709424,2.1095304869576452,2.9216313723387604,26.687986137860054,0.012457989467692578,0.0,0.0,0.0,0.0,0.8139194707156349,10,TAM,53.88181283335544,53.156565656565654,-0.34923918816981825,QB,0.8,True
16,Bucky Irving,0.0,0.0,0.0,0.0,0.0,0.0,17.641133065738668,68.40219392696662,0.08214178728156654,4.417584211615455,4.417584211615455,55.60524463582094,0.41461175589857785,0.3211785820950774,10,TAM,24.161772051827228,24.915824915824913,4.624444474201429,RB,0.4,True
17,Michael Penix,18.978216152075532,30.20477905051391,234.34770516495132,0.8782559321630508,0.9547799005157811,1.1196904633190192,3.0941700071740152,5.520765545684199,0.11662025656456441,0.0,0.0,0.0,0.0,0.2798886157549546,6,ATL,54.60004137175889,53.034819586543726,-1.2364646847405396,QB,0.8,True
18,Kirk Cousins,8.428788282031379,12.734712898789851,79.2880757924301,0.1228516045156352,0.5356329956881696,0.5147482229205116,0.42875209975956685,0.18059185863798374,0.0,0.0,0.0,0.0,0.0,0.18304889072829647,4,ATL,41.05827927089788,47.76393479673419,37.15787419067358,QB,0.6,True
19,Bijan Robinson,0.0,0.0,0.0,0.0,0.0,0.0,17.091970936007048,84.17863066568106,0.6115822424604268,5.1061103691346865,3.974178120002583,58.491386325671314,0.10722699605874514,0.38767404610043693,9,ATL,32.19193728958357,34.63241313816027,3.6061760478499494,RB,0.6,True
20,Bo Nix,23.185008980508695,34.744086582984956,232.65551602642745,1.9198880643904512,0.9136860689731106,0.8607846110629984,6.067306939727833,19.277983914345427,0.3167744136663436,0.0,0.0,0.0,0.0,0.2379514363137473,9,DEN,66.69762213344116,68.11412599711072,4.953265341373012,QB,0.8,True
21,Jaleel McLaughlin,0.0,0.0,0.0,0.0,0.0,0.0,9.465901368159859,56.29289262816291,0.0,2.169600193870939,1.954566766938683,7.043626229473651,0.0,0.0,4,DEN,15.951642367294022,17.286288549714214,6.3487885497142145,RB,0.4,True
22,Tyrod Taylor,16.97161037689672,23.740577581987274,129.54919236417032,1.6573666177190405,0.48947626040137054,2.643171806167401,5.279490944689182,31.697503671071946,0.0,0.0,0.0,0.0,0.0,0.6573666177190406,3,NYJ,44.90664723647694,45.774363322202476,0.0,QB,0.6,True
23,Breece Hall,0.0,0.0,0.0,0.0,0.0,0.0,12.264399718449129,55.55762022971005,0.0377507605960507,4.679486727504296,3.459606010717886,25.645093865440916,0.0,0.03699574538412969,8,NYJ,20.320974991440217,19.4765672550213,-0.7596936592057126,RB,0.4,True
24,Brock Purdy,22.74907174794955,35.77965860985416,296.70375631369626,1.9449955954519422,1.7183803172617682,1.43268458258241,2.8635182688299943,13.725191087304825,0.11952282604966989,0.0,0.0,0.0,0.0,0.526501787259515,7,SFO,63.83939005504787,68.45977011494253,15.472912289375024,QB,0.8,True
25,Mac Jones,24.86094854681887,37.42628842859877,261.36930411150416,1.7075264751647885,0.5927330363503586,1.689775994651123,3.2175527341045562,6.211250995926973,0.0,0.0,0.0,0.0,0.0,0.5280680821581901,7,SFO,59.43303855772879,60.858585858585855,0.6117899273991156,QB,0.8,True
26,Christian McCaffrey,0.0,0.0,0.0,0.0,0.0,0.0,16.59574264982293,53.3345572425013,0.0,10.906248887341524,7.321681870710915,78.45649134734073,0.5663242433499425,0.3954211203360123,6,SFO,22.32817883630611,22.473118279569892,-3.8118043710881544,RB,0.4,True
27,Isaac Guerendo,0.0,0.0,0.0,0.0,0.0,0.0,11.068158796005983,44.97896869422603,0.4467222999372919,3.3216439149100383,3.3216439149100383,43.5336935024842,0.0,0.0,4,SFO,21.009131570548455,24.17241379310345,15.28352490421456,RB,0.4,True
28,Brian Robinson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,6.596436009971738,28.53130343737868,0.018261414566781507,0.839994584969476,0.6653176951802706,2.9390791757490597,0.0,0.10648055140980472,9,SFO,17.88550835291808,21.915584415584416,9.470798615959906,RB,0.4,True
29,Bryce Young,20.106671722229812,33.034962805931116,183.01705931646669,1.2124522502283874,0.46112122323525623,1.8968761124177351,2.358311034982616,13.039342453638788,0.3221088816550625,0.0,0.0,0.0,0.0,0.4905112097100126,10,CAR,64.5637159758605,64.54175905395418,-2.5534372335160356,QB,0.8,True
30,Rico Dowdle,0.0,0.0,0.0,0.0,0.0,0.0,10.538111719083801,39.70366371604006,0.23390154265015878,1.3651697004049133,1.2338540688323067,5.39652067020498,0.0,0.08658180375752766,10,CAR,31.25672186380485,32.950432847264096,0.8962778519326307,RB,0.6,True
31,Chuba Hubbard,0.0,0.0,0.0,0.0,0.0,0.0,13.719192341202858,60.01129755572558,0.15299648048105094,3.8943627145810304,3.1315145726317986,19.234919537023355,0.27775231464816386,0.019221930627083425,9,CAR,30.308127474434087,33.76171583002702,13.059423719152822,RB,0.6,True
32,C.J. Stroud,20.44060407249932,30.400652116306166,211.12120047618149,1.2353547119525798,0.7602418715450249,2.5921480631282887,3.854015272670782,18.294611573743406,0.0,0.0,0.0,0.0,0.0,0.03726819299343165,9,HOU,67.70859821848443,69.36187518485654,6.396759948554866,QB,0.8,True
33,Caleb Williams,20.371360736861373,32.85921956866029,228.90771605095136,1.8508259040090609,0.5341174973046385,2.1252075443260168,6.0168553355095025,23.240033789444162,0.10589116327119297,0.0,0.0,0.0,0.0,0.8570834768538066,10,CHI,68.22191360011487,67.59489530641132,-4.1864098082271255,QB,0.8,True
34,D'Andre Swift,0.0,0.0,0.0,0.0,0.0,0.0,13.507095887714916,43.87485043000535,0.4599936830148034,4.416688331005621,3.2415570044993656,23.955595848731374,0.0,0.15127309038741854,10,CHI,23.246019279255894,23.48880881084099,0.13783879320430614,RB,0.4,True
35,Jameis Winston,21.963679431504147,36.076194236083694,242.02408211606792,1.3264903276746942,2.4528227398341893,3.518752467429925,2.8815633636004736,10.024082116067904,0.13541255428345833,0.0,0.0,0.0,0.0,0.8065534938807738,4,NYG,60.31384600933225,64.1937897493453,8.638234193789742,QB,0.8,True
36,Russell Wilson,15.050887891584644,24.284278309012354,168.76164623313548,0.7106115896735316,0.7272895321694665,2.1163021212663953,3.3704683849279142,20.533417275779676,0.07412381428983508,0.0,0.0,0.0,0.0,0.7406739890484277,10,NYG,59.96170562631551,64.3532851737186,9.110663307121335,QB,0.8,True
37,Jaxson Dart,5.936073059360731,9.132420091324201,50.68493150684932,0.4566210045662101,0.0,2.2831050228310503,5.10958904109589,24.945205479452056,0.4566210045662101,0.0,0.0,0.0,0.0,0.4566210045662101,3,NYG,22.646488985232363,16.97562203303045,0.0,QB,0.4,True
38,Cam Skattebo,0.0,0.0,0.0,0.0,0.0,0.0,15.031977891827873,56.06829846032373,0.4697986577181208,3.851559415712594,3.105408606395578,25.53335965258586,0.0,0.0,4,NYG,24.233647130924123,24.79120923626117,21.45787590292784,RB,0.4,True
39,Cam Ward,15.60442163442558,30.941176470588236,152.17765495459926,0.4697986577181208,0.6711409395973155,3.6746940386893012,2.3924200552704304,13.549151204105804,0.0,0.0,0.0,0.0,0.0,0.32885906040268453,4,TEN,63.5666630570685,64.52044759908055,7.377590456223416,QB,0.8,True
40,Tony Pollard,0.0,0.0,0.0,0.0,0.0,0.0,15.897470142457264,62.53813538296482,0.28608908771717756,2.673372595513592,1.8657424758822725,12.238795633927138,0.0,0.17281896062751803,9,TEN,24.704166354522823,25.28273809523809,-4.6719815146539325,RB,0.4,True
41,Jake Browning,15.941002599583555,25.26642550899676,144.64795362309005,0.7124470435568069,1.2170970327428785,2.3705827223110423,1.8481512423295319,2.723383953826646,0.20779705437073534,0.0,0.0,0.0,0.0,0.0,4,CIN,38.595681748643294,43.418803418803414,-9.807003032809483,QB,0.6,True
42,Chase Brown,0.0,0.0,0.0,0.0,0.0,0.0,13.96021127544633,41.10386931866475,0.162027496934488,3.641446114412686,3.110716687703947,22.5759762116878,0.06252406140185429,0.21883060420152073,9,CIN,29.422552632743002,33.42398342398342,10.136072871921929,RB,0.4,True
43,Cooper Rush,10.284137844927404,15.907976096787376,90.07823750634338,0.4845610501069209,0.256151864610336,0.3702963278129453,1.5022797375843082,-0.5062028003300433,0.0,0.0,0.0,0.0,0.0,0.15176369351093902,8,BAL,53.88982479644539,55.35651280677073,-4.384383551772686,QB,0.8,True
44,Lamar Jackson,16.528098131715918,23.124038889283522,209.25727082863892,2.380451455978311,0.370014689371246,3.4568849361388976,5.670558801979593,44.43487258655344,0.197494150805592,0.0,0.0,0.0,0.0,0.6655478010646811,9,BAL,48.54114724202713,46.49427530575071,-9.35683802093589,QB,0.6,True
45,Derrick Henry,0.0,0.2217420895664405,0.0,0.0,0.0,0.0,13.365113155556916,71.91354604612935,0.5151068740628413,1.5940988230057547,1.277324409339411,11.369186483617037,0.0,0.48561517615050476,9,BAL,35.65639089999117,36.448087431693985,8.241706574266267,RB,0.6,True
46,Dak Prescott,31.0,41.50888274772996,290.5937623371496,1.8476115278326095,0.7461508093170154,1.5278326095538886,1.1105408606395577,4.484405842874062,0.3947887879984209,0.0,0.0,0.0,0.0,0.1934465061192262,4,DAL,63.29377623297876,64.1365578865579,1.6365578865578954,QB,0.8,True
47,Jared Goff,22.035553318653953,31.17127727869473,242.18421156445376,2.3673046737166987,0.4400362241999913,0.8132565231888649,1.6128923438437455,2.492052858163077,0.0,0.0,0.0,0.0,0.0,0.2648830733088811,10,DET,58.43522827864535,63.07293767648245,7.302514430394048,QB,0.8,True
48,Jahmyr Gibbs,0.0,0.0,0.0,0.0,0.0,0.0,15.774749942903437,78.02106767178329,1.0794496449232662,4.498081157807384,4.121854479339314,23.499640057567163,0.06174513730343262,0.0177971278109894,10,DET,24.76067923355782,24.537994150867288,3.2487880076702282,RB,0.4,True
49,David Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,10.539593939532532,58.439239241702815,0.7109517524727069,1.6737421834015132,1.3205107234365143,9.582063580711187,0.0,0.0,8,DET,15.850562537757158,18.922235668504328,3.639752451238502,RB,0.4,True
50,Tua Tagovailoa,21.03057963490013,30.317997167924702,197.70734669146646,1.8172730588043526,0.7432115107780084,1.4007300185092373,1.7998387137322722,5.25001014704562,0.0,0.0,0.0,0.0,0.0,0.7764791025392048,9,MIA,64.8121408136074,65.59129429892141,-0.1378723677452598,QB,0.8,True
51,De'Von Achane,0.0,0.0,0.0,0.0,0.0,0.0,13.837168874322941,65.15066495990652,0.3860317309316828,5.652352863659817,4.395419841725083,31.226048675901126,0.2998773604049861,0.345041261629404,10,MIA,20.997222008282048,21.92313585971645,5.755206566787159,RB,0.4,True
52,Sam Darnold,19.27114149853118,27.487475554565737,248.5450074136889,1.6454603010251698,0.4129906640666914,1.86508176489439,1.2001100754386953,9.797202536500132,0.0,0.0,0.0,0.0,0.0,0.4664984259014624,10,SEA,63.20897985983652,64.14476377630393,-1.0852142867737058,QB,0.8,True
53,Drew Lock,9.436862663430617,15.59726534161749,115.68446605098437,0.8757837037747375,0.36952482190546415,0.7875717877392138,2.103902998173066,5.908232166353855,0.23107646192575573,0.0,0.0,0.0,0.0,0.17517537445077247,6,SEA,57.26671680492459,68.25108853410741,42.499417656650365,QB,0.8,True
54,Zach Charbonnet,0.0,0.0,0.0,0.0,0.0,0.0,11.996522995741298,36.795053073533495,0.6628159402222074,1.6841928066352272,1.522488700608096,7.457145115615522,0.0,0.0,9,SEA,19.42130808576922,16.433556181093127,-1.6288661163018467,RB,0.4,True
55,Josh Allen,19.187338016702157,27.8264750180747,223.403849363502,1.8856717320043113,0.36515637692810043,1.6884563020495826,6.8905211932579,39.581657276129626,0.7709430040029339,0.0,0.0,0.12615148859315306,0.018021641227593293,0.21883060420152073,9,BUF,59.228291058909846,59.730960861990525,0.9126187103150301,QB,0.8,True
56,James Cook,0.0,0.0,0.0,0.0,0.0,0.0,18.271590775415962,100.68485759524967,1.1642150808355094,2.8601833998661212,2.547568251006806,17.35595691339195,0.05254122806878512,0.20572265100984963,9,BUF,22.495663657803274,21.360009765083174,-4.257274185534108,RB,0.4,True
