player,team,pos,year,active
Clayton Tune,ARI,QB,2022,True
Damien Williams,ARI,RB,2022,True
DeeJay Dallas,ARI,RB,2022,True
Elijah Higgins,ARI,TE,2022,True
Emari Demercado,ARI,RB,2022,True
Geoff Swaim,ARI,TE,2022,True
Greg Dortch,ARI,WR,2022,True
James Conner,ARI,RB,2022,True
Joshua Dobbs,ARI,QB,2022,True
Keaontay Ingram,ARI,RB,2022,True
Kyler Murray,ARI,QB,2022,True
Marquise Brown,ARI,WR,2022,True
Marvin Harrison Jr.,ARI,WR,2022,True
Michael Carter,ARI,RB,2022,True
Michael Wilson,ARI,WR,2022,True
Rondale Moore,ARI,WR,2022,True
Tip Reiman,ARI,TE,2022,True
Tony Jones,ARI,RB,2022,True
Trey Benson,ARI,RB,2022,True
Trey McBride,ARI,TE,2022,True
Xavier Weaver,ARI,WR,2022,True
Zach Ertz,ARI,TE,2022,True
Zach Pascal,ARI,WR,2022,True
Zay Jones,ARI,WR,2022,True
Zeke Turner,ARI,LB,2022,True
Bijan Robinson,ATL,RB,2022,True
Casey Washington,ATL,WR,2022,True
Charlie Woerner,ATL,TE,2022,True
Chris Blair,ATL,WR,2022,True
Cordarrelle Patterson,ATL,RB,2022,True
Damiere Byrd,ATL,WR,2022,True
Darnell Mooney,ATL,WR,2022,True
Desmond Ridder,ATL,QB,2022,True
Drake London,ATL,WR,2022,True
Jase McClellan,ATL,RB,2022,True
Jonnu Smith,ATL,TE,2022,True
Keith Smith,ATL,FB,2022,True
KhaDarel Hodge,ATL,WR,2022,True
Kirk Cousins,ATL,QB,2022,True
Kyle Pitts,ATL,TE,2022,True
Mack Hollins,ATL,WR,2022,True
Michael Penix,ATL,QB,2022,True
MyCole Pruitt,ATL,TE,2022,True
Ray-Ray McCloud,ATL,WR,2022,True
Ross Dwelley,ATL,TE,2022,True
Scott Miller,ATL,WR,2022,True
Taylor Heinicke,ATL,QB,2022,True
Tyler Allgeier,ATL,RB,2022,True
Van Jefferson,ATL,WR,2022,True
Anthony Miller,BAL,WR,2022,True
Charlie Kolar,BAL,TE,2022,True
Derrick Henry,BAL,RB,2022,True
Devin Duvernay,BAL,WR,2022,True
Devontez Walker,BAL,WR,2022,True
Diontae Johnson,BAL,WR,2022,True
Gus Edwards,BAL,RB,2022,True
Isaiah Likely,BAL,TE,2022,True
J.K. Dobbins,BAL,RB,2022,True
Josh Johnson,BAL,QB,2022,True
Justice Hill,BAL,RB,2022,True
Keaton Mitchell,BAL,RB,2022,True
Kenyan Drake,BAL,RB,2022,True
Lamar Jackson,BAL,QB,2022,True
Mark Andrews,BAL,TE,2022,True
Melvin Gordon,BAL,RB,2022,True
Nelson Agholor,BAL,WR,2022,True
Odell Beckham Jr.,BAL,WR,2022,True
Patrick Ricard,BAL,FB,2022,True
Rasheen Ali,BAL,RB,2022,True
Rashod Bateman,BAL,WR,2022,True
Tylan Wallace,BAL,WR,2022,True
Tyler Huntley,BAL,QB,2022,True
Zay Flowers,BAL,WR,2022,True
Amari Cooper,BUF,WR,2022,True
Curtis Samuel,BUF,WR,2022,True
Dalton Kincaid,BUF,TE,2022,True
Damien Harris,BUF,RB,2022,True
Dawson Knox,BUF,TE,2022,True
Deonte Harty,BUF,WR,2022,True
Gabriel Davis,BUF,WR,2022,True
James Cook,BUF,RB,2022,True
Josh Allen,BUF,QB,2022,True
Keon Coleman,BUF,WR,2022,True
Khalil Shakir,BUF,WR,2022,True
Kyle Allen,BUF,QB,2022,True
Latavius Murray,BUF,RB,2022,True
Marquez Valdes-Scantling,BUF,WR,2022,True
Mike White,BUF,QB,2022,True
Mitchell Trubisky,BUF,QB,2022,True
Quintin Morris,BUF,TE,2022,True
Ray Davis,BUF,RB,2022,True
Reggie Gilliam,BUF,FB,2022,True
Stefon Diggs,BUF,WR,2022,True
Trent Sherfield,BUF,WR,2022,True
Ty Johnson,BUF,RB,2022,True
Tyrell Shavers,BUF,WR,2022,True
Zach Davidson,BUF,TE,2022,True
Adam Thielen,CAR,WR,2022,True
Andy Dalton,CAR,QB,2022,True
Bryce Young,CAR,QB,2022,True
Chuba Hubbard,CAR,RB,2022,True
DJ Chark,CAR,WR,2022,True
Dan Chisena,CAR,WR,2022,True
David Moore,CAR,WR,2022,True
Deven Thompkins,CAR,WR,2022,True
Feleipe Franks,CAR,TE,2022,True
Giovanni Ricci,CAR,TE,2022,True
Hayden Hurst,CAR,TE,2022,True
Ian Thomas,CAR,TE,2022,True
Ja'Tavion Sanders,CAR,TE,2022,True
Jalen Coker,CAR,WR,2022,True
Johnny Hekker,CAR,P,2022,True
Jonathan Mingo,CAR,WR,2022,True
Jonathon Brooks,CAR,RB,2022,True
Jordan Matthews,CAR,TE,2022,True
Laviska Shenault Jr.,CAR,WR,2022,True
Mike Boone,CAR,RB,2022,True
Miles Sanders,CAR,RB,2022,True
Raheem Blackshear,CAR,RB,2022,True
Sam Franklin,CAR,SS,2022,True
Stephen Sullivan,CAR,TE,2022,True
Terrace Marshall Jr.,CAR,WR,2022,True
Tommy Tremble,CAR,TE,2022,True
Velus Jones Jr.,CAR,RB,2022,True
Xavier Legette,CAR,WR,2022,True
Caleb Williams,CHI,QB,2022,True
Chase Claypool,CHI,WR,2022,True
Cole Kmet,CHI,TE,2022,True
Collin Johnson,CHI,WR,2022,True
D'Andre Swift,CHI,RB,2022,True
D'Onta Foreman,CHI,RB,2022,True
D.J. Moore,CHI,WR,2022,True
Darrynton Evans,CHI,RB,2022,True
DeAndre Carter,CHI,WR,2022,True
Equanimeous St. Brown,CHI,WR,2022,True
Gerald Everett,CHI,TE,2022,True
Justin Fields,CHI,QB,2022,True
Keenan Allen,CHI,WR,2022,True
Khalil Herbert,CHI,RB,2022,True
Khari Blasingame,CHI,FB,2022,True
Marcedes Lewis,CHI,TE,2022,True
Nathan Peterman,CHI,QB,2022,True
Robert Tonyan,CHI,TE,2022,True
Rome Odunze,CHI,WR,2022,True
Roschon Johnson,CHI,RB,2022,True
Travis Homer,CHI,RB,2022,True
Trent Taylor,CHI,WR,2022,True
Tyler Scott,CHI,WR,2022,True
Tyson Bagent,CHI,QB,2022,True
Andrei Iosivas,CIN,WR,2022,True
