event_id,sport_key,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,price,point,description
13bdffda97e8fb13179fe3f2f69d66f8,americanfootball_nfl,2025-11-07T01:15:00Z,Denver Broncos,Las Vegas Raiders,draftkings,DraftKings,h2h,Denver Broncos,-520,,
13bdffda97e8fb13179fe3f2f69d66f8,americanfootball_nfl,2025-11-07T01:15:00Z,Denver Broncos,Las Vegas Raiders,draftkings,DraftKings,h2h,Las Vegas Raiders,390,,
13bdffda97e8fb13179fe3f2f69d66f8,americanfootball_nfl,2025-11-07T01:15:00Z,Denver Broncos,Las Vegas Raiders,draftkings,DraftKings,spreads,Denver Broncos,-110,-9.5,
13bdffda97e8fb13179fe3f2f69d66f8,americanfootball_nfl,2025-11-07T01:15:00Z,Denver Broncos,Las Vegas Raiders,draftkings,DraftKings,spreads,Las Vegas Raiders,-110,9.5,
13bdffda97e8fb13179fe3f2f69d66f8,americanfootball_nfl,2025-11-07T01:15:00Z,Denver Broncos,Las Vegas Raiders,draftkings,DraftKings,totals,Over,-118,42.5,
13bdffda97e8fb13179fe3f2f69d66f8,americanfootball_nfl,2025-11-07T01:15:00Z,Denver Broncos,Las Vegas Raiders,draftkings,DraftKings,totals,Under,-102,42.5,
42473c1ddf8f424069ff3f264dd8dca4,americanfootball_nfl,2025-11-09T14:30:00Z,Indianapolis Colts,Atlanta Falcons,draftkings,DraftKings,h2h,Atlanta Falcons,270,,
42473c1ddf8f424069ff3f264dd8dca4,americanfootball_nfl,2025-11-09T14:30:00Z,Indianapolis Colts,Atlanta Falcons,draftkings,DraftKings,h2h,Indianapolis Colts,-340,,
42473c1ddf8f424069ff3f264dd8dca4,americanfootball_nfl,2025-11-09T14:30:00Z,Indianapolis Colts,Atlanta Falcons,draftkings,DraftKings,spreads,Atlanta Falcons,-108,6.5,
42473c1ddf8f424069ff3f264dd8dca4,americanfootball_nfl,2025-11-09T14:30:00Z,Indianapolis Colts,Atlanta Falcons,draftkings,DraftKings,spreads,Indianapolis Colts,-112,-6.5,
42473c1ddf8f424069ff3f264dd8dca4,americanfootball_nfl,2025-11-09T14:30:00Z,Indianapolis Colts,Atlanta Falcons,draftkings,DraftKings,totals,Over,-108,48.5,
42473c1ddf8f424069ff3f264dd8dca4,americanfootball_nfl,2025-11-09T14:30:00Z,Indianapolis Colts,Atlanta Falcons,draftkings,DraftKings,totals,Under,-112,48.5,
9900b89c4776c5b47dd26ca4c755edf9,americanfootball_nfl,2025-11-09T18:00:00Z,Minnesota Vikings,Baltimore Ravens,draftkings,DraftKings,h2h,Baltimore Ravens,-225,,
9900b89c4776c5b47dd26ca4c755edf9,americanfootball_nfl,2025-11-09T18:00:00Z,Minnesota Vikings,Baltimore Ravens,draftkings,DraftKings,h2h,Minnesota Vikings,185,,
9900b89c4776c5b47dd26ca4c755edf9,americanfootball_nfl,2025-11-09T18:00:00Z,Minnesota Vikings,Baltimore Ravens,draftkings,DraftKings,spreads,Baltimore Ravens,-102,-4.5,
9900b89c4776c5b47dd26ca4c755edf9,americanfootball_nfl,2025-11-09T18:00:00Z,Minnesota Vikings,Baltimore Ravens,draftkings,DraftKings,spreads,Minnesota Vikings,-118,4.5,
9900b89c4776c5b47dd26ca4c755edf9,americanfootball_nfl,2025-11-09T18:00:00Z,Minnesota Vikings,Baltimore Ravens,draftkings,DraftKings,totals,Over,-105,49.5,
9900b89c4776c5b47dd26ca4c755edf9,americanfootball_nfl,2025-11-09T18:00:00Z,Minnesota Vikings,Baltimore Ravens,draftkings,DraftKings,totals,Under,-115,49.5,
3c10bc18680995136017c3bfd3152334,americanfootball_nfl,2025-11-09T18:00:00Z,Miami Dolphins,Buffalo Bills,draftkings,DraftKings,h2h,Buffalo Bills,-470,,
3c10bc18680995136017c3bfd3152334,americanfootball_nfl,2025-11-09T18:00:00Z,Miami Dolphins,Buffalo Bills,draftkings,DraftKings,h2h,Miami Dolphins,360,,
3c10bc18680995136017c3bfd3152334,americanfootball_nfl,2025-11-09T18:00:00Z,Miami Dolphins,Buffalo Bills,draftkings,DraftKings,spreads,Buffalo Bills,-110,-9.5,
3c10bc18680995136017c3bfd3152334,americanfootball_nfl,2025-11-09T18:00:00Z,Miami Dolphins,Buffalo Bills,draftkings,DraftKings,spreads,Miami Dolphins,-110,9.5,
3c10bc18680995136017c3bfd3152334,americanfootball_nfl,2025-11-09T18:00:00Z,Miami Dolphins,Buffalo Bills,draftkings,DraftKings,totals,Over,-105,50.5,
3c10bc18680995136017c3bfd3152334,americanfootball_nfl,2025-11-09T18:00:00Z,Miami Dolphins,Buffalo Bills,draftkings,DraftKings,totals,Under,-115,50.5,
21f47a328fb2ab65c01360a7a2bd9571,americanfootball_nfl,2025-11-09T18:00:00Z,Carolina Panthers,New Orleans Saints,draftkings,DraftKings,h2h,Carolina Panthers,-245,,
21f47a328fb2ab65c01360a7a2bd9571,americanfootball_nfl,2025-11-09T18:00:00Z,Carolina Panthers,New Orleans Saints,draftkings,DraftKings,h2h,New Orleans Saints,200,,
21f47a328fb2ab65c01360a7a2bd9571,americanfootball_nfl,2025-11-09T18:00:00Z,Carolina Panthers,New Orleans Saints,draftkings,DraftKings,spreads,Carolina Panthers,-108,-5.5,
21f47a328fb2ab65c01360a7a2bd9571,americanfootball_nfl,2025-11-09T18:00:00Z,Carolina Panthers,New Orleans Saints,draftkings,DraftKings,spreads,New Orleans Saints,-112,5.5,
21f47a328fb2ab65c01360a7a2bd9571,americanfootball_nfl,2025-11-09T18:00:00Z,Carolina Panthers,New Orleans Saints,draftkings,DraftKings,totals,Over,-118,39.5,
21f47a328fb2ab65c01360a7a2bd9571,americanfootball_nfl,2025-11-09T18:00:00Z,Carolina Panthers,New Orleans Saints,draftkings,DraftKings,totals,Under,-102,39.5,
