name,pass_att,position,rush_att,tar,pass_yd,rush_yd,rec_yd,pass_td,rush_td,rec_td,pass_int,fum,team,games_played,fantasy_points
Jonathan Taylor,0.0,RB,382.16077559519715,58.66239820321525,0.0,1997.3921556528767,369.34467553928346,0.0,18.13724340488637,3.1834028584078986,0.0,1.7225163883201569,IND,18,361.1525279223414
Drake Maye,512.4493824511059,QB,101.51456424782378,2.239492391225388,4079.3436208905528,469.6644095119385,4.478984782450777,30.025344047905783,8.097504528647391,0.0,8.958055577687235,11.696662446554559,NE,18,337.9650515800849
James Cook,0.0,RB,312.977454757981,48.82016935265708,0.0,1722.189504368297,321.03488098616015,0.0,21.020136186339585,1.3076380676417785,0.0,3.988972543899984,BUF,18,330.3111389715339
Bo Nix,623.223151966153,QB,107.35148534985112,0.0336414918666309,4094.8928925244777,358.3177685554909,0.0672829837332619,35.58919268936984,4.434841791328811,0.0336414918666309,17.328318694505654,5.560962718716064,DEN,18,323.0233284851101
Bijan Robinson,0.0,RB,313.0222018787164,89.539188306093,0.0,1530.672002520852,945.070454874065,0.0,11.934107061402893,2.197290275405368,0.0,6.244666466375812,ATL,18,319.8732968275897
Jahmyr Gibbs,0.0,RB,280.8321047795025,84.8404067472964,0.0,1391.238996224421,477.8324832559749,0.0,18.362751843949038,1.5190731421065173,0.0,0.4378504939012902,DET,18,305.3223968765704
Josh Jacobs,0.0,RB,351.70995501110116,60.84826660364815,0.0,1240.686111002613,587.4579209298109,0.0,20.83511332758377,0.0,0.0,6.0723588248375755,GB,18,295.6803655090699
Christian McCaffrey,0.0,RB,294.6500305968161,183.5453100442656,0.0,975.6316825309187,1314.3103142200287,0.0,0.0,8.724352976374096,0.0,5.960305437866322,SF,18,269.4197066576067
Ashton Jeanty,0.0,RB,296.474015146189,32.58113991206485,0.0,1324.9236867864734,104.63842214278374,0.0,9.058327790066105,11.054086063955785,0.0,5.527043031977892,LV,17,252.57660795310127
Saquon Barkley,0.0,RB,384.2173298338186,60.80652325473327,0.0,1480.0054085637664,268.82625440868844,0.0,12.942612764220051,0.030479630695285698,0.0,0.4683301245965761,PHI,18,251.78506041754437
