,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team
0,Aaron Rodgers,19.60521742689822,31.25176292999356,215.82421244589835,1.7048684968088572,0.9812559457191357,2.9702710380518274,1.1963131480017193,5.1545311071439945,0.0,0.0,0.0,0.0,0.0,0.13969802865108438,9,PIT
1,Alvin Kamara,0.0,0.0,0.0,0.0,0.0,0.0,15.953037083756971,68.86711989912602,0.30122807022156656,4.569826777640643,4.347885547225955,23.01345620516973,0.1033212280859973,0.43032581460223795,7,NO
2,Anthony Richardson,11.83863216341584,23.497717416580652,153.31422953120347,0.7564020447378191,1.258990604486837,1.116258766221845,8.595364662589702,56.58046565517692,0.9706140332983841,0.28557790769306085,0.28557790769306085,-0.28557790769306085,0.0,0.23508773361292767,5,IND
3,Ashton Jeanty,0.0,0.0,0.0,0.0,0.0,0.0,14.294117647058822,40.94117647058823,0.4117647058823529,3.1764705882352944,2.588235294117647,1.411764705882353,0.0,0.0,2,LV
4,Baker Mayfield,23.3359513517388,34.48313775427077,247.3683770771894,2.7843902836431362,0.36288802004464704,2.6766026071518625,3.029603490007511,27.3943518532688,0.0258851496175638,0.0,0.0,0.0,0.0,0.6387302324958776,9,TB
5,Bijan Robinson,0.0,0.0,0.0,0.0,0.0,0.0,18.94737443676547,95.13237310499991,0.6438206222599565,4.735853658421542,3.4812832892113614,35.65203916558177,0.2217420895664405,0.15521946269650835,9,ATL
6,Bo Nix,23.668179726339186,34.3599098669282,208.84258656377253,2.334650572929287,1.2521871130852023,0.9204535827976077,5.096360614175657,20.466946331615674,0.0,0.0,0.0,0.0,0.0,0.512308647708762,9,DEN
7,Breece Hall,0.0,0.0,0.0,0.0,0.0,0.0,12.681082193482988,55.087524334587194,0.0996229020602825,3.182199091454006,2.225060351363534,20.518917134865116,0.019288330606139686,0.07872788002505995,8,NYJ
8,Brian Robinson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,10.016863990071164,37.33687325536452,0.05783945697609876,1.8046038920956535,1.4332919021323463,6.418812169052564,0.0,0.22634651603928532,8,SF
9,Brock Purdy,23.45321951500986,33.47492395191622,282.4415753723297,1.8687206493816637,1.400555978643077,1.886584729823176,3.758960023887792,15.174928068206611,0.25391449139694494,0.0,0.0,0.0,0.0,0.07325718502254097,8,SF
10,Bryce Young,23.237222430003484,38.93673644640341,231.31987529722318,1.890452943763207,0.9581154235386764,2.8635248021807787,3.385955055196395,21.95705372043236,0.2202555629682751,0.0,0.0,0.0,0.0,1.019181793768812,9,CAR
11,Caleb Williams,19.942383846880105,32.324703760355774,207.76902340714196,1.383036024540814,0.4599936830148035,3.8726295165985944,5.218903435957918,35.37840982392369,0.2161044148391694,0.0,0.0,0.0,0.0,0.4890659012225242,10,CHI
12,Cam Skattebo,0.0,0.0,0.0,0.0,0.0,0.0,7.294117647058824,25.235294117647058,0.5882352941176471,2.588235294117647,2.0,13.176470588235293,0.0,0.0,2,NYG
13,Cam Ward,16.11764705882353,30.941176470588232,149.05882352941177,0.5882352941176471,0.0,5.411764705882352,2.3529411764705883,4.705882352941177,0.0,0.0,0.0,0.0,0.0,1.0,2,TEN
