,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,week
0,Aaron Rodgers,20.579698746029262,29.921079783371233,223.31872256893573,2.5609773999694907,0.9970077142239545,0.7595823765476322,1.5549715027463273,4.449502757848709,0.0,0.0,0.0,0.0,0.0,0.14573391002606761,9,PIT,11
1,Alvin Kamara,0.0,0.0,0.0,0.0,0.0,0.0,11.74899937898167,38.53982769924502,0.03796142226291947,4.220702649944402,3.7033214613722225,18.569203624223956,0.013020767836181377,0.054230603232742106,8,NO,11
2,Anthony Richardson,1.9074318375591337,3.800940743725174,22.82655814932432,0.0696146569654627,0.1670751767171105,0.1670751767171105,2.1274047808072325,6.824677679623464,0.11834491684128662,0.6404450807877121,0.6404450807877121,5.276703128331169,0.0,0.0,4,IND,11
3,Ashton Jeanty,0.0,0.0,0.0,0.0,0.0,0.0,14.49212947873019,59.00577052777558,0.37944350417595807,2.8846355407103195,2.0516114225784525,15.533566386242532,0.22426956286069882,0.11213478143034941,7,LV,11
4,Baker Mayfield,23.86969482821542,36.832860366027596,266.24592207719917,1.7546656459244248,0.44486687317725987,2.2665288028963833,2.3539514658448435,14.171135357368536,0.0,0.0,0.0,0.0,0.0,0.7745237828414563,10,TB,11
5,Bijan Robinson,0.0,0.0,0.0,0.0,0.0,0.0,16.338606320115787,89.75230542415136,0.4812369747079283,6.921082982512894,5.232594127803909,59.24313929712751,0.40653979238964516,0.15472071179238098,9,ATL,11
6,Bo Nix,23.605558387324347,39.03992095867419,235.1539977796142,1.6119471392535483,0.2932176079826071,1.419561260142964,5.0835337417500766,29.731552317710175,0.7233323485259627,0.0,0.0,0.0,0.0,0.3882628577418069,10,DEN,11
7,Breece Hall,0.0,0.0,0.0,0.0,0.0,0.0,14.24212331383647,59.54350295124862,0.01245798946769258,3.2206829953048817,2.364225384621302,19.13860106832879,0.0,0.15127309038741857,10,NYJ,11
8,Brian Robinson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,5.620867416404485,21.7823407203792,0.0,0.914455540963304,0.8603377441502952,2.627678480507325,0.0,0.0355942556219788,10,SF,11
9,Bryce Young,17.661220115887925,28.26294874522826,173.7265719920367,1.6563530418940942,0.5168214921688961,1.6059015969467019,2.4362977218621134,8.34936150624681,0.10437893156851707,0.0,0.0,0.0,0.0,0.6239659375579193,10,CAR,11
10,Caleb Williams,17.53789498363883,29.367508454173777,214.3085822709039,0.9504082882624378,0.5796009159500126,1.8634904975746216,4.8050118260263455,7.4312966172752235,0.29741614291034213,0.0,0.0,0.0,0.0,1.0635932653535118,9,CHI,11
11,Cam Skattebo,0.0,0.0,0.0,0.0,0.0,0.0,16.25139244917728,67.4192238900046,0.8199798680471123,4.634569093496542,3.281671128628402,28.322652631620244,0.32692356102142694,0.16019254490049917,7,NYG,11
12,Cam Ward,21.919380649852116,34.84752840884014,219.84459950065693,0.6892104436385416,0.9065917270685189,4.371832396751818,1.4804994999704135,2.8873104292865968,0.0,0.0,0.0,0.0,0.0,0.8780248193829057,7,TEN,11
13,Chase Brown,0.0,0.0,0.0,0.0,0.0,0.0,11.084408923570336,59.492466083763524,0.04877865846971177,4.022653726606393,3.0916082976694654,9.116820748707966,0.01245798946769258,0.22539690467725365,10,CIN,11
14,Christian McCaffrey,0.0,0.0,0.0,0.0,0.0,0.0,20.06195463020205,78.9140616035143,0.8826936147578528,9.068035735360608,7.305519221634232,72.60737461092009,0.32727336923171985,0.11213478143034941,7,SF,11
15,Cooper Rush,11.218899184538023,17.567981313717603,102.8586728658315,0.13875812416588496,1.240925076509404,0.35630205310922164,0.8615395075372504,-0.28510046563794617,0.0,0.0,0.0,0.0,0.0,0.41495506516932923,7,BAL,11
16,D'Andre Swift,0.0,0.0,0.0,0.0,0.0,0.0,15.646139849820255,89.51295842664638,0.5496449100623014,2.85028212957466,2.143250980708696,31.384888704773527,0.2546218487850404,0.061134705893288184,9,CHI,11
17,Dak Prescott,24.27518234978925,34.02414657421704,266.5418849562527,2.832871117905309,0.2119347369033604,0.9210777100573784,3.5290937450041993,7.818748673916306,0.11213478143034941,0.0,0.0,0.0,0.0,0.610716096637297,7,DAL,11
18,Daniel Jones,21.97177668897702,31.272756250042907,251.73096152469302,1.715962598636925,0.4531160555756976,0.8734478895286055,3.964066850637452,10.302902525451817,0.3607169956770897,0.0,0.0,0.0,0.0,0.2723273263308486,7,IND,11
19,David Montgomery,0.15810671496426273,0.15810671496426273,0.4743201448927882,0.15810671496426273,0.0,0.0,10.949011667939024,39.59241545658125,0.3672818988619823,2.024146836426914,1.5908053707187406,17.42472287443008,0.0,0.0,8,DET,11
20,De'Von Achane,0.0,0.0,0.0,0.0,0.0,0.0,13.52236806481791,77.31200629910288,0.5558971207605212,5.704821873625296,4.0918688396351275,24.10572594743268,0.2394804293923223,0.11834915273888556,10,MIA,11
21,Derrick Henry,0.0,0.10722699605874514,0.0,0.0,0.0,0.0,16.93200497654556,78.545914860746,0.4679189160459856,1.5884215176745837,0.903794341672683,7.742588816253697,0.0,0.23482712136865183,9,BAL,11
