team,pass_att,rush_att,tar,pass_yd,rush_yd,rec_yd,pass_td,rush_td,rec_td,pass_int,fum,total_games
ARI,637.8233910332631,103.49472940079848,0.0,3775.983503955777,654.0540487334099,0.0,23.881659097373472,1.4070346122143762,0.0,18.739455811875356,1.8239029314506823,18
ATL,0.0,313.0222018787164,89.539188306093,0.0,1530.672002520852,945.070454874065,0.0,11.934107061402893,2.197290275405368,0.0,6.244666466375812,18
BAL,327.8217654038774,295.08830909248064,26.965542387196688,1926.5621369599903,1451.933480747567,209.25656572142896,11.4348450367573,10.050373572081881,0.0,6.08195948653229,12.46335378994201,36
BUF,517.0431814576799,440.6685240204836,48.82016935265708,4104.073109707186,2429.979831691424,324.17451998656804,33.16733329661697,36.0153943695927,1.7561579248429071,5.9291925452626355,7.366915490459787,36
CAR,597.1991818965032,251.0824516077148,26.725065392440648,3380.122805611894,1084.780063929842,112.57483565206864,23.10081600140723,9.749028158840568,0.030479630695285698,9.468655704881957,12.762567208333541,36
CHI,589.5910884849932,347.7694209927358,76.04566006874083,4064.520486145586,1267.2426473516853,418.79143301451086,31.726868952944084,9.215769398552721,0.0,8.78835378708859,17.213058961054482,36
CIN,403.01981456626976,298.33632772711593,66.74352600488781,2363.6358550208683,860.1634560631558,406.76302314361817,12.700511522659173,7.634147106809098,1.5880378558243746,21.386456501991255,3.4363667300860627,36
CLE,696.7332872356176,26.9139868378456,0.0,3915.387072193308,40.07071472487036,0.0,11.90590833602133,0.0,0.0,28.922166406910232,11.276152852575807,18
DAL,725.8178608783697,22.984267752795365,0.0,4949.0079459141425,114.16928438496117,0.0,29.17771074574062,5.527043031977892,0.0,12.26722333688463,3.616121082983161,18
DEN,623.223151966153,275.4133512067403,38.39485655925563,4094.8928925244777,1355.653501103805,124.62123762698018,35.58919268936984,4.434841791328811,0.0336414918666309,17.328318694505654,5.560962718716064,36
DET,580.4029631699835,504.56656632554314,120.60276042024957,4603.016417546034,2456.4801090428336,699.1012374589612,44.38300188772236,30.849367325748887,1.5190731421065173,7.386164981169268,5.07194987609373,54
GB,549.2627277728278,399.7780265581504,60.84826660364815,4361.339939253779,1496.1562902715025,587.4579209298109,33.07700136806959,20.92922886849267,0.0,3.4594795372893263,10.487991909634976,36
IND,742.0902061550048,568.1750061806829,61.14477816190892,5943.942018996872,2717.0612582247363,366.8622955805898,23.994685985030557,37.42434499295156,3.1834028584078986,23.325685373082255,9.011742207124252,54
JAC,606.0570080048224,341.69549075011764,46.73197896785483,3506.1833575540695,1594.837900242675,205.8258402588783,19.20450997445101,8.208569054618994,2.6813344762582054,16.32915159306459,3.5061979090050106,36
KC,661.063460121115,258.07344692418906,26.584750035760326,4412.1141363445495,1006.1849361634338,171.18393693191393,36.36593860502185,12.54256600940762,0.0,2.8275651633469034,10.055358913274118,36
LAC,662.0419384560164,302.95061480409936,72.20888473068736,4562.455471109853,1623.5916480885787,509.23093161140525,30.155728200036272,10.215089823691915,0.0,14.148463482666129,10.00980146369071,35
LAR,590.4967671614462,52.06774752668657,0.0,4626.228040706839,43.18234757763076,0.0,31.525518805438015,0.0,0.0,7.339842675184194,5.250198271032051,18
LV,840.3661967335156,400.83874136172375,32.58113991206485,6237.083919884614,1717.2984150917778,104.63842214278374,42.412032441836175,18.720247877545514,11.054086063955785,33.74003132641875,16.96440246167427,53
MIA,561.3820043361623,268.45408825689555,102.9893775050355,3676.8433743240225,1193.9096066932493,601.5594390617032,31.793158604552627,6.347059130470542,5.882543472599471,14.5756927589647,18.66726027617626,36
NE,512.4493824511059,247.351971521069,44.138604568454916,4079.3436208905528,1077.9686480673709,459.6413093280389,30.025344047905783,9.473610667322655,0.0336414918666309,8.958055577687235,20.449437988389143,36
NO,611.0473945735264,354.17313363753567,78.69384187838509,3279.0038077851445,1613.074855799423,289.2093109376768,19.811257370686363,2.728274344180778,1.304011151071029,9.281923585488627,14.189020462995877,36
NYG,1257.261426685513,420.15170198236126,63.569427844687574,8401.413523196981,1784.5507004766152,417.65720435457433,44.91649481587008,18.546907994185133,0.0,56.378739022398,34.10013555412503,69
NYJ,396.0952409110172,307.20133284312783,78.97675412857629,2174.1170800934274,1496.4098757521322,449.2595942765868,30.18935832618829,1.0698598214622674,0.1048124638864005,7.342143906020557,13.170557888493615,36
PHI,425.7210629185469,728.1878376463678,74.44580428004262,2661.5288478718526,2870.4007349230196,289.7559261389672,24.864186907353236,31.468820292895778,0.030479630695285698,0.0748357240080645,19.23068133244177,54
PIT,825.3718761069737,80.56687568213971,0.0,5876.292145335161,246.88498468416375,0.0,44.37517626257587,0.0,0.0,29.74756332239346,10.561711630027535,36
SEA,841.41326448198,279.92128214474377,31.90472072012459,6991.863794236289,966.0472627133457,154.55241108852442,50.25143143277592,16.30757291258226,0.0,16.20144538428188,11.658356815404872,54
SF,1294.3609377541018,544.2743704804153,202.8435856077124,9882.48014705996,1925.9408800094886,1389.57684598026,65.07591263275914,3.458507591906112,8.724352976374096,39.994567330232535,25.1650918954471,72
TB,623.8754310225652,52.47487488305293,0.0,4668.848333000125,476.75237755538,0.0,41.69047968301736,0.3101342563583915,0.0,8.669909649979347,13.915135038454185,18
TEN,526.2820306204674,324.17343273778874,47.06391612259493,2572.5414266837556,1321.6800358963085,225.30753311947853,7.941672209933895,5.026458013315117,0.0,9.852594158928627,11.134422952883085,35
TXSO,649.9642822405259,183.38768229709567,0.0,4037.570718909474,1132.7414049156118,0.0,42.41149859365754,1.3111026319161347,0.0,9.666572928998077,2.3451895816987283,18
