event_id,sport_key,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,price,point,description
677dbbb6ad96fc5f5b36bb20b43139dd,americanfootball_nfl,2025-10-31T00:15:00Z,Miami Dolphins,Baltimore Ravens,draftkings,DraftKings,h2h,Baltimore Ravens,-455,,
677dbbb6ad96fc5f5b36bb20b43139dd,americanfootball_nfl,2025-10-31T00:15:00Z,Miami Dolphins,Baltimore Ravens,draftkings,DraftKings,h2h,Miami Dolphins,350,,
677dbbb6ad96fc5f5b36bb20b43139dd,americanfootball_nfl,2025-10-31T00:15:00Z,Miami Dolphins,Baltimore Ravens,draftkings,DraftKings,spreads,Baltimore Ravens,-112,-7.5,
677dbbb6ad96fc5f5b36bb20b43139dd,americanfootball_nfl,2025-10-31T00:15:00Z,Miami Dolphins,Baltimore Ravens,draftkings,DraftKings,spreads,Miami Dolphins,-108,7.5,
677dbbb6ad96fc5f5b36bb20b43139dd,americanfootball_nfl,2025-10-31T00:15:00Z,Miami Dolphins,Baltimore Ravens,draftkings,DraftKings,totals,Over,-108,51.5,
677dbbb6ad96fc5f5b36bb20b43139dd,americanfootball_nfl,2025-10-31T00:15:00Z,Miami Dolphins,Baltimore Ravens,draftkings,DraftKings,totals,Under,-112,51.5,
6dd3b8a705ed0db85d59fa19b9062cc8,americanfootball_nfl,2025-11-02T18:00:00Z,New England Patriots,Atlanta Falcons,draftkings,DraftKings,h2h,Atlanta Falcons,210,,
6dd3b8a705ed0db85d59fa19b9062cc8,americanfootball_nfl,2025-11-02T18:00:00Z,New England Patriots,Atlanta Falcons,draftkings,DraftKings,h2h,New England Patriots,-258,,
6dd3b8a705ed0db85d59fa19b9062cc8,americanfootball_nfl,2025-11-02T18:00:00Z,New England Patriots,Atlanta Falcons,draftkings,DraftKings,spreads,Atlanta Falcons,-110,5.5,
6dd3b8a705ed0db85d59fa19b9062cc8,americanfootball_nfl,2025-11-02T18:00:00Z,New England Patriots,Atlanta Falcons,draftkings,DraftKings,spreads,New England Patriots,-110,-5.5,
6dd3b8a705ed0db85d59fa19b9062cc8,americanfootball_nfl,2025-11-02T18:00:00Z,New England Patriots,Atlanta Falcons,draftkings,DraftKings,totals,Over,-120,44.5,
6dd3b8a705ed0db85d59fa19b9062cc8,americanfootball_nfl,2025-11-02T18:00:00Z,New England Patriots,Atlanta Falcons,draftkings,DraftKings,totals,Under,100,44.5,
6031b513e188fc19a2311499566c9258,americanfootball_nfl,2025-11-02T18:00:00Z,Green Bay Packers,Carolina Panthers,draftkings,DraftKings,h2h,Carolina Panthers,700,,
6031b513e188fc19a2311499566c9258,americanfootball_nfl,2025-11-02T18:00:00Z,Green Bay Packers,Carolina Panthers,draftkings,DraftKings,h2h,Green Bay Packers,-1100,,
6031b513e188fc19a2311499566c9258,americanfootball_nfl,2025-11-02T18:00:00Z,Green Bay Packers,Carolina Panthers,draftkings,DraftKings,spreads,Carolina Panthers,-115,13.5,
6031b513e188fc19a2311499566c9258,americanfootball_nfl,2025-11-02T18:00:00Z,Green Bay Packers,Carolina Panthers,draftkings,DraftKings,spreads,Green Bay Packers,-105,-13.5,
